Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,4,5,0.05063291139240506
collective,1,10,0.012658227848101266
datatype,0,12,0.0
enumeration,0,12,0.0
event,4,5,0.05063291139240506
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,12,3,0.1518987341772152
mixin,0,12,0.0
mode,4,5,0.05063291139240506
phase,2,8,0.02531645569620253
phaseMixin,0,12,0.0
quality,2,8,0.02531645569620253
quantity,0,12,0.0
relator,10,4,0.12658227848101267
role,15,2,0.189873417721519
roleMixin,0,12,0.0
situation,0,12,0.0
subkind,24,1,0.3037974683544304
type,1,10,0.012658227848101266
