Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type
category,1.0,0.11817492353661041,0.11133580974892195,0.0414484888601659,0.3757992544456154,0.05838512061495696,0.19259017991578972,0.010656213637849602,0.046513949519857545,0.3119824729239932,0.29933898639485945,0.32264464153912326
collective,0.11817492353661041,1.0,0.029097967426702457,0.19345451726196097,0.2168851642644921,0.3163722881368943,0.04105558776031975,0.2685386674244392,0.14967949348476733,0.011159098907352241,0.1936836874496881,0.15516617330702034
event,0.11133580974892195,0.029097967426702457,1.0,0.2127274958649065,0.19542930601779265,0.10405293912354782,0.10559775812557068,0.044310288898382774,0.003948132772989974,0.287528799054567,0.00792519372040046,0.3096764976927816
kind,0.0414484888601659,0.19345451726196097,0.2127274958649065,1.0,0.10761152980407827,0.27086995518800006,0.09738567209492428,0.23253862070664985,0.4369055945890265,0.1421509555081139,0.4880526993154439,0.1364862873499991
mode,0.3757992544456154,0.2168851642644921,0.19542930601779265,0.10761152980407827,1.0,0.14103607786144962,0.19982342161738934,0.16181174047262598,0.1954840707214241,0.3073763565866919,0.22325858760886122,0.301994059195616
phase,0.05838512061495696,0.3163722881368943,0.10405293912354782,0.27086995518800006,0.14103607786144962,1.0,0.11589737226181676,0.20043602869912214,0.32915356412422364,0.08932527945106102,0.34907974429433436,0.0411341073343744
quality,0.19259017991578972,0.04105558776031975,0.10559775812557068,0.09738567209492428,0.19982342161738934,0.11589737226181676,1.0,0.1390559860789165,0.10654237956539395,0.034015024199101185,0.1713708572318076,0.1424917089742061
relator,0.010656213637849602,0.2685386674244392,0.044310288898382774,0.23253862070664985,0.16181174047262598,0.20043602869912214,0.1390559860789165,1.0,0.27465966834294203,0.16975638768856247,0.13892957821775892,0.0320303319910623
role,0.046513949519857545,0.14967949348476733,0.003948132772989974,0.4369055945890265,0.1954840707214241,0.32915356412422364,0.10654237956539395,0.27465966834294203,1.0,0.09989188859269556,0.14647543351154335,0.04094059121300611
roleMixin,0.3119824729239932,0.011159098907352241,0.287528799054567,0.1421509555081139,0.3073763565866919,0.08932527945106102,0.034015024199101185,0.16975638768856247,0.09989188859269556,1.0,0.007393730708022027,0.3293622674441941
subkind,0.29933898639485945,0.1936836874496881,0.00792519372040046,0.4880526993154439,0.22325858760886122,0.34907974429433436,0.1713708572318076,0.13892957821775892,0.14647543351154335,0.007393730708022027,1.0,0.05978955410150743
type,0.32264464153912326,0.15516617330702034,0.3096764976927816,0.1364862873499991,0.301994059195616,0.0411341073343744,0.1424917089742061,0.0320303319910623,0.04094059121300611,0.3293622674441941,0.05978955410150743,1.0
