Stereotype,x_value,y_value,quadrant
bringsAbout,0,0,Q3
characterization,158,11,Q1
comparative,15,1,Q1
componentOf,318,13,Q1
creation,0,0,Q3
derivation,113,9,Q1
externalDependence,8,2,Q1
historicalDependence,0,0,Q3
instantiation,0,0,Q3
manifestation,0,0,Q3
material,298,16,Q1
mediation,1326,15,Q1
memberOf,130,10,Q1
participation,4,1,Q1
participational,0,0,Q3
subCollectionOf,19,4,Q1
subQuantityOf,3,2,Q2
termination,0,0,Q3
triggers,0,0,Q3
