Stereotype,x_value,y_value,quadrant
bringsAbout,0,0.0,Q3
characterization,158,5.448275862068965,Q1
comparative,15,0.5172413793103449,Q1
componentOf,318,10.96551724137931,Q1
creation,0,0.0,Q3
derivation,113,3.896551724137931,Q1
externalDependence,8,0.2758620689655172,Q1
historicalDependence,0,0.0,Q3
instantiation,0,0.0,Q3
manifestation,0,0.0,Q3
material,298,10.275862068965518,Q1
mediation,1326,45.72413793103448,Q1
memberOf,130,4.482758620689655,Q1
participation,4,0.1379310344827586,Q1
participational,0,0.0,Q3
subCollectionOf,19,0.6551724137931034,Q1
subQuantityOf,3,0.1034482758620689,Q3
termination,0,0.0,Q3
triggers,0,0.0,Q3
