Stereotype,category,collective,datatype,kind,phase,relator,role,roleMixin,subkind,characterization,componentOf,derivation,material,mediation,memberOf,none_r,other_r
category,1.0,-0.008365619241804454,0.13487968365332628,0.05879501558862487,0.23797561125541586,0.06424770283806375,-0.14168596502417782,0.04209292907585281,0.2641558213195555,0.13294740881312628,9.676308802855979e-05,0.11539463042286408,0.20995956927153,0.13793172851517727,-0.012572719137124355,0.19038616474338402,-0.22316479763298847
collective,-0.008365619241804454,1.0,-0.1703590380297464,0.22236580965630146,-0.0035429923680773165,0.23937848872779824,0.10219899339573574,-0.03298635786935821,0.12507756993999816,-0.07272834541964666,0.2388814218782203,0.056368290010665914,0.18213110889711911,0.21169235271273654,0.33627156030813854,-0.27356707061244523,0.3922786281131561
datatype,0.13487968365332628,-0.1703590380297464,1.0,-0.009960015583927947,0.36928858869524106,0.07097800303193826,0.03732681613171879,-0.14485246409320504,0.10067935955335185,0.2302944151796269,-0.05146959368969539,0.3166160945426544,0.35227206014933354,0.11023529672767395,-0.14469365919480373,0.46551274665327486,-0.0030081425390443917
kind,0.05879501558862487,0.22236580965630146,-0.009960015583927947,1.0,0.11598383804680955,0.03962920503308733,-0.05283950804088779,-0.07684257249464028,0.39991042475779204,0.09858412597993532,0.6610482816585456,-0.19252771383177317,-0.13410850099996893,0.11288245633655405,0.024307859629191193,0.04528546767957808,0.3166156426521763
phase,0.23797561125541586,-0.0035429923680773165,0.36928858869524106,0.11598383804680955,1.0,0.16057303083334992,0.120335674072549,-0.2779324757206835,0.38568645609532914,0.27714866324479354,0.18696690628217455,0.1303484920693901,0.09531943847390582,0.15112465542111636,0.306925124313354,0.41103018150672754,0.04044890275280025
relator,0.06424770283806375,0.23937848872779824,0.07097800303193826,0.03962920503308733,0.16057303083334992,1.0,0.6898691433750036,0.2470105298052573,0.1520937262640076,-0.06090482141307915,-0.1744082239632205,0.3572377250412713,0.33108897373714996,0.933046613872889,0.06218751042650284,0.05706479188231059,-0.021541731974496495
role,-0.14168596502417782,0.10219899339573574,0.03732681613171879,-0.05283950804088779,0.120335674072549,0.6898691433750036,1.0,0.09246487700953086,0.05332761604758523,-0.19865038369932442,-0.21699492571564968,0.18441616660553112,0.18640999474570666,0.7230620028019591,0.04545890671351122,0.12250175055215806,-0.16185517876691644
roleMixin,0.04209292907585281,-0.03298635786935821,-0.14485246409320504,-0.07684257249464028,-0.2779324757206835,0.2470105298052573,0.09246487700953086,1.0,-0.05316930811704589,-0.15830379335379202,-0.2017664516567909,-0.09764694005084391,-0.062120758027668595,0.24495538125079194,-0.28139161611094643,-0.2625305914886163,-0.0918008232148629
subkind,0.2641558213195555,0.12507756993999816,0.10067935955335185,0.39991042475779204,0.38568645609532914,0.1520937262640076,0.05332761604758523,-0.05316930811704589,1.0,-0.0895570589565318,0.49448548587240115,-0.11118369133848206,-0.036666979306772984,0.1837578240081482,0.09890275666872358,0.07465778874515316,-0.04413732925525939
characterization,0.13294740881312628,-0.07272834541964666,0.2302944151796269,0.09858412597993532,0.27714866324479354,-0.06090482141307915,-0.19865038369932442,-0.15830379335379202,-0.0895570589565318,1.0,0.15047296748468286,-0.06499253665804483,-0.2383931821151408,-0.09072951881147591,0.07077341595530742,0.2713347655186105,0.15251712605756984
componentOf,9.676308802855979e-05,0.2388814218782203,-0.05146959368969539,0.6610482816585456,0.18696690628217455,-0.1744082239632205,-0.21699492571564968,-0.2017664516567909,0.49448548587240115,0.15047296748468286,1.0,-0.21034629835381194,-0.24414964163493674,-0.09828908370611776,0.13490499737282047,-0.10498639966822397,0.2938414973510116
derivation,0.11539463042286408,0.056368290010665914,0.3166160945426544,-0.19252771383177317,0.1303484920693901,0.3572377250412713,0.18441616660553112,-0.09764694005084391,-0.11118369133848206,-0.06499253665804483,-0.21034629835381194,1.0,0.7976212305488717,0.359144378885206,0.02097980206150537,0.07444856051016711,-0.12998821168701485
material,0.20995956927153,0.18213110889711911,0.35227206014933354,-0.13410850099996893,0.09531943847390582,0.33108897373714996,0.18640999474570666,-0.062120758027668595,-0.036666979306772984,-0.2383931821151408,-0.24414964163493674,0.7976212305488717,1.0,0.33779733186081506,0.010515685696127298,0.07636986501972179,-0.25113948237248757
mediation,0.13793172851517727,0.21169235271273654,0.11023529672767395,0.11288245633655405,0.15112465542111636,0.933046613872889,0.7230620028019591,0.24495538125079194,0.1837578240081482,-0.09072951881147591,-0.09828908370611776,0.359144378885206,0.33779733186081506,1.0,-0.03740256216769529,0.11424790145353574,-0.02764468710452797
memberOf,-0.012572719137124355,0.33627156030813854,-0.14469365919480373,0.024307859629191193,0.306925124313354,0.06218751042650284,0.04545890671351122,-0.28139161611094643,0.09890275666872358,0.07077341595530742,0.13490499737282047,0.02097980206150537,0.010515685696127298,-0.03740256216769529,1.0,0.05327420857129231,0.15314531970255257
none_r,0.19038616474338402,-0.27356707061244523,0.46551274665327486,0.04528546767957808,0.41103018150672754,0.05706479188231059,0.12250175055215806,-0.2625305914886163,0.07465778874515316,0.2713347655186105,-0.10498639966822397,0.07444856051016711,0.07636986501972179,0.11424790145353574,0.05327420857129231,1.0,-0.09420680601417777
other_r,-0.22316479763298847,0.3922786281131561,-0.0030081425390443917,0.3166156426521763,0.04044890275280025,-0.021541731974496495,-0.16185517876691644,-0.0918008232148629,-0.04413732925525939,0.15251712605756984,0.2938414973510116,-0.12998821168701485,-0.25113948237248757,-0.02764468710452797,0.15314531970255257,-0.09420680601417777,1.0
