year,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
2013,0,10,24,5,0,0,0,0,36,2,8,13,0,1,0,33,34,11,0,28,2,0,0
2021,0,2,1,2,0,0,0,0,2,0,0,2,0,1,0,2,2,0,0,1,0,0,0
2022,0,2,1,2,1,0,0,0,2,1,0,2,0,0,0,2,2,1,0,2,0,0,0
2023,1,1,1,0,0,0,0,0,2,0,0,2,0,1,1,2,1,0,0,2,0,0,0
