Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.4522849462365591,2,0.3188976377952756
20.0,4,0.7849462365591398,4,0.6023622047244095
30.0,6,0.8904569892473119,6,0.7834645669291339
40.0,9,0.9630376344086021,9,0.9251968503937008
50.0,11,0.989247311827957,11,0.968503937007874
60.0,13,0.9959677419354839,13,0.9881889763779528
70.0,16,1.0,16,1.0
80.0,18,1.0,18,1.0
90.0,20,1.0,20,1.0
100.0,23,1.0,23,1.0
