Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf,participation
category,1.0,-0.0008734158535436221,0.23832404829160292,0.17357334909281116,0.3651003219097132,0.02290297378697164,0.3090681027949107,-0.013238077192183667,-0.048524520338911754,0.32571854895957514,0.29853111841048163,0.3455671545823052,0.4455671356710242,0.18254934328171465,-0.05614040781465753,0.14854927354146516,0.02179004729165773,0.06110494409486221,0.22042159069626524
collective,-0.0008734158535436221,1.0,-0.17253338609357916,0.2708469588790268,0.07934401968236465,0.23215007455250464,-0.14860630821416343,0.2990157904284498,0.23639551326816508,-0.05979521880728781,0.16762258540652908,0.047332185810460496,0.003319907972530689,0.3549489768941275,0.18190695773424845,0.19563819472079777,0.36711984551690147,0.6556525526068638,-0.04110816315249607
event,0.23832404829160292,-0.17253338609357916,1.0,-0.23766789316472192,0.3082199624290937,0.03617212950595617,0.2517783740064222,-0.0911115267557632,-0.10797916893192355,0.34373655559238153,0.0643069427595685,0.4165373942741575,0.3700371741827931,-0.10463605922984019,-0.11716549786862963,-0.02091044597187567,-0.08570792956133129,-0.016102336229775426,0.6990802501367968
kind,0.17357334909281116,0.2708469588790268,-0.23766789316472192,1.0,0.06343819192234341,0.2393348279397681,0.10538727630224254,0.2859549481654359,0.2986877095944475,-0.15726179364308016,0.5293710589426684,-0.1636419459710355,0.0005217551774768536,0.5038710133787425,0.14101354751134285,0.2596542663094794,0.2552000394038986,0.22403933808766294,-0.19184064552857516
mode,0.3651003219097132,0.07934401968236465,0.3082199624290937,0.06343819192234341,1.0,0.06299693539724235,0.22844017912734335,0.02718334616398428,0.11008993800824218,0.2605877368480842,0.16455422259461014,0.3413906562100251,0.6123166230975565,0.13523667093197456,-0.06447357829056989,0.04634386276123343,0.0868391230335457,0.22754621021717944,0.18502269122857493
phase,0.02290297378697164,0.23215007455250464,0.03617212950595617,0.2393348279397681,0.06299693539724235,1.0,0.0717752947537128,0.25223007739834175,0.3676826013101418,0.004357219219193015,0.3099962684336935,0.03030548404579117,0.08349428331857393,0.188281619799217,0.17325557859726712,0.17833550202168333,0.34683548408116144,0.2713121927613232,0.017263118392166606
quality,0.3090681027949107,-0.14860630821416343,0.2517783740064222,0.10538727630224254,0.22844017912734335,0.0717752947537128,1.0,0.05910897868624395,-0.04214075065465979,0.07282404717293417,0.3034774408132898,0.18376812397404704,0.6204149717164414,0.002343552623079936,-0.11870246045953156,-0.010100396312404922,0.04759549388874301,-0.15229602004937806,0.34722894514147995
relator,-0.013238077192183667,0.2990157904284498,-0.0911115267557632,0.2859549481654359,0.02718334616398428,0.25223007739834175,0.05910897868624395,1.0,0.520055518061839,0.1523457016493285,0.237718242548653,0.06041837678340734,0.14969346612047177,0.26142483456680704,0.37859746575053943,0.4032367942741754,0.8174071410965402,0.28121480870017446,-0.04021968384077921
role,-0.048524520338911754,0.23639551326816508,-0.10797916893192355,0.2986877095944475,0.11008993800824218,0.3676826013101418,-0.04214075065465979,0.520055518061839,1.0,0.06821868082332137,0.20181763725997376,-0.019798588391084285,-0.007565299141224351,0.10297336869654393,0.2903034347604049,0.26410545604874947,0.5644302891495194,0.2756403945771363,-0.22955683488435433
roleMixin,0.32571854895957514,-0.05979521880728781,0.34373655559238153,-0.15726179364308016,0.2605877368480842,0.004357219219193015,0.07282404717293417,0.1523457016493285,0.06821868082332137,1.0,0.004766422775082505,0.40075600239635867,0.2566370331012436,-0.004296630894398321,-0.022068446307513558,-0.02761228272191063,0.17711762634370262,-0.0061571022029392325,0.29813504844684563
subkind,0.29853111841048163,0.16762258540652908,0.0643069427595685,0.5293710589426684,0.16455422259461014,0.3099962684336935,0.3034774408132898,0.237718242548653,0.20181763725997376,0.004766422775082505,1.0,0.06833144099062549,0.18030232479423927,0.362774578735785,-0.014655096061604811,0.2045045014221174,0.2663950448640245,0.19651078741952482,0.07910232207637331
