Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,characterization,componentOf,derivation,material,mediation,memberOf,participation
category,1.0,0.00669990909131811,0.2059487916913499,0.12338993434630247,0.37351793397609934,0.05101546482412341,0.26768169730416375,0.035398012026071964,0.03232475711296858,0.27786583599011294,0.25193517536134497,0.2855455282092373,0.38153857194131746,0.15615841649654144,0.04422754450689658,0.0552647678253251,0.03361753896341937,0.01891715989055135,0.18453181013911601
collective,0.00669990909131811,1.0,0.1621938532271502,0.20297724087107186,0.08348488781935749,0.24840727193927126,0.13001284032209068,0.25734600629172766,0.18439698717307645,0.06270396489847613,0.14798683953168035,0.06309083708133188,0.03847936432530085,0.3355183982562758,0.1464034194079102,0.19587979984069348,0.32127208081025194,0.6555406559183173,0.01630085922642995
event,0.2059487916913499,0.1621938532271502,1.0,0.2276464004587024,0.25892119502324495,0.020886568358304707,0.20603592188808614,0.12145715981948851,0.1443519795098999,0.2848159493242402,0.0047445292136040216,0.3270881820236063,0.27335714122707,0.09586515282827576,0.08303882124434572,0.05186393218340195,0.12117537092396001,0.005937658837094076,0.6506368513680341
kind,0.12338993434630247,0.20297724087107186,0.2276464004587024,1.0,0.04924805169611345,0.25053355889901313,0.010217454392738131,0.2169841587250443,0.3783494506897878,0.1360301591366346,0.4508781828862933,0.14074098242014194,0.06527237993559729,0.3229448172031232,0.18640351177641631,0.3091998617152613,0.24573763299682744,0.1721301765640639,0.18114388326986464
mode,0.37351793397609934,0.08348488781935749,0.25892119502324495,0.04924805169611345,1.0,0.059308240812872066,0.22484154758528133,0.005393966315438838,0.03483679918587932,0.26615124937945056,0.11299997510426975,0.3144669127874574,0.5915523930842799,0.12982239326416828,0.04314588259425228,0.01997650458402157,0.06496356657913716,0.23400878564002334,0.14526042941647707
phase,0.05101546482412341,0.24840727193927126,0.020886568358304707,0.25053355889901313,0.059308240812872066,1.0,0.11257904992473158,0.19219581513786085,0.29064082068578095,0.016352779710994716,0.3241294217698944,0.0327380411112895,0.08925717543234025,0.2153410166988521,0.18533567315363497,0.17224943923081198,0.2747393823024376,0.2621417501818959,0.010157843481025962
quality,0.26768169730416375,0.13001284032209068,0.20603592188808614,0.010217454392738131,0.22484154758528133,0.11257904992473158,1.0,0.06898322650360902,0.02834018545552495,0.057255733884023274,0.17279076423281478,0.19161792894489696,0.5618603320317545,0.005191927101843744,0.09086062569393459,0.04959581218868722,0.03811245483700646,0.15512193373172037,0.31628342046653746
relator,0.035398012026071964,0.25734600629172766,0.12145715981948851,0.2169841587250443,0.005393966315438838,0.19219581513786085,0.06898322650360902,1.0,0.34444735335055626,0.1376420759120704,0.1784210698289016,0.07095809712116886,0.15244261561663539,0.1434548692583472,0.3738702823675861,0.3623431713250365,0.7891492705999965,0.2220185932160034,0.003706640638701673
role,0.03232475711296858,0.18439698717307645,0.1443519795098999,0.3783494506897878,0.03483679918587932,0.29064082068578095,0.02834018545552495,0.34444735335055626,1.0,0.06251476370669092,0.14891721751171924,0.030409692453356563,0.01129762594356473,0.028682351033302713,0.2528351446282439,0.23974024322631055,0.34761298507282745,0.13499917248138782,0.23110192450158332
roleMixin,0.27786583599011294,0.06270396489847613,0.2848159493242402,0.1360301591366346,0.26615124937945056,0.016352779710994716,0.057255733884023274,0.1376420759120704,0.06251476370669092,1.0,0.011179879171438204,0.29969227893710737,0.17260431725108244,0.004556098079850895,0.015471246073664856,0.02607299907190982,0.1522565888377128,0.009402278751783224,0.20036895895968196
subkind,0.25193517536134497,0.14798683953168035,0.0047445292136040216,0.4508781828862933,0.11299997510426975,0.3241294217698944,0.17279076423281478,0.1784210698289016,0.14891721751171924,0.011179879171438204,1.0,0.022158177963713204,0.034243002487764976,0.3170489109164637,0.022163378088886524,0.16603242822073927,0.21231978393943163,0.13443732192026858,0.0543243352967466
type,0.2855455282092373,0.06309083708133188,0.3270881820236063,0.14074098242014194,0.3144669127874574,0.0327380411112895,0.19161792894489696,0.07095809712116886,0.030409692453356563,0.29969227893710737,0.022158177963713204,1.0,0.2975706427599459,0.12035723054410485,0.13909590067805055,0.04586697363715011,0.07749240420408514,0.1110116033865584,0.30922603747544286
characterization,0.38153857194131746,0.03847936432530085,0.27335714122707,0.06527237993559729,0.5915523930842799,0.08925717543234025,0.5618603320317545,0.15244261561663539,0.01129762594356473,0.17260431725108244,0.034243002487764976,0.2975706427599459,1.0,0.21775044923364473,0.01599216815865164,0.00477684156952244,0.21069014331353256,0.1559747884695393,0.34507453852732933
componentOf,0.15615841649654144,0.3355183982562758,0.09586515282827576,0.3229448172031232,0.12982239326416828,0.2153410166988521,0.005191927101843744,0.1434548692583472,0.028682351033302713,0.004556098079850895,0.3170489109164637,0.12035723054410485,0.21775044923364473,1.0,0.020249163713161225,0.2105957680947077,0.19566851294761656,0.3433826956646224,0.016297204920874123
derivation,0.04422754450689658,0.1464034194079102,0.08303882124434572,0.18640351177641631,0.04314588259425228,0.18533567315363497,0.09086062569393459,0.3738702823675861,0.2528351446282439,0.015471246073664856,0.022163378088886524,0.13909590067805055,0.01599216815865164,0.020249163713161225,1.0,0.5868892268068321,0.441021939724318,0.19267407870586503,0.06765576283978182
material,0.0552647678253251,0.19587979984069348,0.05186393218340195,0.3091998617152613,0.01997650458402157,0.17224943923081198,0.04959581218868722,0.3623431713250365,0.23974024322631055,0.02607299907190982,0.16603242822073927,0.04586697363715011,0.00477684156952244,0.2105957680947077,0.5868892268068321,1.0,0.4224890336807351,0.23256038864980227,0.07226079957601149
mediation,0.03361753896341937,0.32127208081025194,0.12117537092396001,0.24573763299682744,0.06496356657913716,0.2747393823024376,0.03811245483700646,0.7891492705999965,0.34761298507282745,0.1522565888377128,0.21231978393943163,0.07749240420408514,0.21069014331353256,0.19566851294761656,0.441021939724318,0.4224890336807351,1.0,0.3128084708005224,0.015357239804567782
memberOf,0.01891715989055135,0.6555406559183173,0.005937658837094076,0.1721301765640639,0.23400878564002334,0.2621417501818959,0.15512193373172037,0.2220185932160034,0.13499917248138782,0.009402278751783224,0.13443732192026858,0.1110116033865584,0.1559747884695393,0.3433826956646224,0.19267407870586503,0.23256038864980227,0.3128084708005224,1.0,0.08304265646359577
participation,0.18453181013911601,0.01630085922642995,0.6506368513680341,0.18114388326986464,0.14526042941647707,0.010157843481025962,0.31628342046653746,0.003706640638701673,0.23110192450158332,0.20036895895968196,0.0543243352967466,0.30922603747544286,0.34507453852732933,0.016297204920874123,0.06765576283978182,0.07226079957601149,0.015357239804567782,0.08304265646359577,1.0
