Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,3,3,0.08823529411764706
comparative,0,8,0.0
componentOf,3,3,0.08823529411764706
creation,0,8,0.0
derivation,1,5,0.029411764705882353
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,4,2,0.11764705882352941
mediation,21,1,0.6176470588235294
memberOf,1,5,0.029411764705882353
participation,1,5,0.029411764705882353
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
