Stereotype,category,enumeration,event,kind,mode,quality,quantity,relator,role,situation,subkind,characterization,componentOf,derivation,material,mediation
category,1.0,-0.8660254037844387,-0.8660254037844387,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,-0.5,-0.8660254037844387,1.0,-1.0,0.0,0.0,0.5,0.0
enumeration,-0.8660254037844387,1.0,1.0,-0.8660254037844387,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.5,-0.5,-0.8660254037844387,-0.5
event,-0.8660254037844387,1.0,1.0,-0.8660254037844387,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.5,-0.5,-0.8660254037844387,-0.5
kind,1.0,-0.8660254037844387,-0.8660254037844387,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,-0.5,-0.8660254037844387,1.0,-1.0,0.0,0.0,0.5,0.0
mode,0.8660254037844387,-0.5,-0.5,0.8660254037844387,1.0,-0.5,-0.5,-0.5,0.0,-0.5,0.8660254037844387,-0.8660254037844387,-0.5,-0.5,0.0,-0.5
quality,-0.8660254037844387,1.0,1.0,-0.8660254037844387,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.5,-0.5,-0.8660254037844387,-0.5
quantity,-0.8660254037844387,1.0,1.0,-0.8660254037844387,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.5,-0.5,-0.8660254037844387,-0.5
relator,0.0,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,1.0,-0.8660254037844387,-0.5,0.0,0.0,1.0,1.0,0.8660254037844387,1.0
role,-0.5,0.8660254037844387,0.8660254037844387,-0.5,0.0,0.8660254037844387,0.8660254037844387,-0.8660254037844387,1.0,0.8660254037844387,-0.5,0.5,-0.8660254037844387,-0.8660254037844387,-1.0,-0.8660254037844387
situation,-0.8660254037844387,1.0,1.0,-0.8660254037844387,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.5,-0.5,-0.8660254037844387,-0.5
subkind,1.0,-0.8660254037844387,-0.8660254037844387,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,-0.5,-0.8660254037844387,1.0,-1.0,0.0,0.0,0.5,0.0
characterization,-1.0,0.8660254037844387,0.8660254037844387,-1.0,-0.8660254037844387,0.8660254037844387,0.8660254037844387,0.0,0.5,0.8660254037844387,-1.0,1.0,0.0,0.0,-0.5,0.0
componentOf,0.0,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,1.0,-0.8660254037844387,-0.5,0.0,0.0,1.0,1.0,0.8660254037844387,1.0
derivation,0.0,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,1.0,-0.8660254037844387,-0.5,0.0,0.0,1.0,1.0,0.8660254037844387,1.0
material,0.5,-0.8660254037844387,-0.8660254037844387,0.5,0.0,-0.8660254037844387,-0.8660254037844387,0.8660254037844387,-1.0,-0.8660254037844387,0.5,-0.5,0.8660254037844387,0.8660254037844387,1.0,0.8660254037844387
mediation,0.0,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,1.0,-0.8660254037844387,-0.5,0.0,0.0,1.0,1.0,0.8660254037844387,1.0
