Stereotype,category,event,kind,mode,phase,relator,role,subkind,type,characterization,derivation,formal,material,mediation
category,1.0,0.08591165848154882,0.2405790764811389,0.49354481147251045,0.3990309511409879,0.16129378530311264,0.2047397793132204,0.569687542831738,0.42300176934619,0.4404469065917545,0.18063208859516902,0.2981032673688298,0.39755140159228985,0.46480295085226897
event,0.08591165848154882,1.0,0.31547496746916537,0.17852244650776053,0.05954180062633867,0.3286884588838749,0.07158561525058804,0.04379230108930911,0.26245482491264466,0.06684400284221606,0.2369040571630674,0.18925806081165886,0.08589250726382776,0.16205569142931686
kind,0.2405790764811389,0.31547496746916537,1.0,0.10015528475105497,0.18000679131116495,0.0925684480444893,0.5032664129995156,0.3734687116001838,0.04183011592853391,0.021681973605669504,0.35523207400593365,0.169757489167286,0.5934007156127554,0.11157941482333232
mode,0.49354481147251045,0.17852244650776053,0.10015528475105497,1.0,0.2374158392773012,0.23030947581592415,0.1435533460036665,0.29918509457597325,0.39066477263605587,0.5169294553552891,0.09510816309075909,0.15803428310773943,0.19375922896999287,0.37103784658571526
phase,0.3990309511409879,0.05954180062633867,0.18000679131116495,0.2374158392773012,1.0,0.1189196379247047,0.32502901222703906,0.3666330506531519,0.17900765801508098,0.059894296259790064,0.3779029130940608,0.3089647517060719,0.24767943444871365,0.19790751949959542
relator,0.16129378530311264,0.3286884588838749,0.0925684480444893,0.23030947581592415,0.1189196379247047,1.0,0.28746069844736105,0.07954821907488832,0.22759480055293757,0.3790414911772979,0.4529946064236917,0.38185650664289583,0.2627396288948695,0.6855023069051878
role,0.2047397793132204,0.07158561525058804,0.5032664129995156,0.1435533460036665,0.32502901222703906,0.28746069844736105,1.0,0.18443992616614607,0.31011926448358745,0.0,0.23701048668159547,0.17118489693833056,0.44246855304013893,0.0
subkind,0.569687542831738,0.04379230108930911,0.3734687116001838,0.29918509457597325,0.3666330506531519,0.07954821907488832,0.18443992616614607,1.0,0.33515515724473566,0.05312551856665104,0.03757891857857788,0.1021103643038686,0.3730190344206395,0.29932327127108255
type,0.42300176934619,0.26245482491264466,0.04183011592853391,0.39066477263605587,0.17900765801508098,0.22759480055293757,0.31011926448358745,0.33515515724473566,1.0,0.2954373539273261,0.018786661055405794,0.12960941246469135,0.29135153481131676,0.15914166456803544
characterization,0.4404469065917545,0.06684400284221606,0.021681973605669504,0.5169294553552891,0.059894296259790064,0.3790414911772979,0.0,0.05312551856665104,0.2954373539273261,1.0,0.24095724442478184,0.3447547418679478,0.07830535751870923,0.6457895968397387
derivation,0.18063208859516902,0.2369040571630674,0.35523207400593365,0.09510816309075909,0.3779029130940608,0.4529946064236917,0.23701048668159547,0.03757891857857788,0.018786661055405794,0.24095724442478184,1.0,0.4884563973106803,0.6479556548417859,0.4692070559346614
formal,0.2981032673688298,0.18925806081165886,0.169757489167286,0.15803428310773943,0.3089647517060719,0.38185650664289583,0.17118489693833056,0.1021103643038686,0.12960941246469135,0.3447547418679478,0.4884563973106803,1.0,0.29200945653431964,0.4893126037556879
material,0.39755140159228985,0.08589250726382776,0.5934007156127554,0.19375922896999287,0.24767943444871365,0.2627396288948695,0.44246855304013893,0.3730190344206395,0.29135153481131676,0.07830535751870923,0.6479556548417859,0.29200945653431964,1.0,0.34331543976258505
mediation,0.46480295085226897,0.16205569142931686,0.11157941482333232,0.37103784658571526,0.19790751949959542,0.6855023069051878,0.0,0.29932327127108255,0.15914166456803544,0.6457895968397387,0.4692070559346614,0.4893126037556879,0.34331543976258505,1.0
