Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3046953046953047,2,0.22164948453608246
20.0,4,0.5204795204795205,4,0.4329896907216495
30.0,6,0.6773226773226774,6,0.6030927835051546
40.0,9,0.8411588411588412,9,0.7680412371134021
50.0,11,0.9180819180819181,11,0.8350515463917526
60.0,13,0.949050949050949,13,0.8865979381443299
70.0,16,0.9820179820179821,16,0.9536082474226805
80.0,18,0.995004995004995,18,0.9845360824742269
90.0,20,1.0,20,1.0
100.0,23,1.0,23,1.0
