Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,none,other
category,1.0,0.09759000729485331,-0.09759000729485333,0.11500161355436699,0.034815531191139566,0.15555555555555556,0.42470599286468796,0.3721042037676254,0.09759000729485333,-0.01698823971458752,0.06666666666666667,0.3778624445357772,-0.022222222222222223,0.5266354311522131,-0.2,0.14907119849998599
collective,0.09759000729485331,1.0,0.2571428571428571,-0.28378178144389027,0.030578831486257535,0.18867401410338308,0.41281272698065485,0.13315005718713654,0.02857142857142857,0.06465741506925919,0.09759000729485331,-0.1298662389658481,-0.2277100170213244,0.06465741506925919,-0.2277100170213244,-0.13093073414159545
datatype,-0.09759000729485333,0.2571428571428571,1.0,0.07214791053658227,0.2548235957188128,0.3578300267477955,0.12434118282549846,0.060522753266880246,0.14285714285714285,-0.32328707534629597,-0.09759000729485333,-0.12024651756097046,0.09759000729485331,0.07460470969529907,-0.16265001215808886,0.0
event,0.11500161355436699,-0.28378178144389027,0.07214791053658227,1.0,-0.4032441137045824,-0.005476267312112713,0.20513587275572404,-0.07132097307273312,0.07214791053658227,-0.33910215700436014,-0.2792896329177484,0.3522267206477733,0.5202453946507077,0.06279669574154817,0.34500484066310094,0.25715142542972574
kind,0.034815531191139566,0.030578831486257535,0.2548235957188128,-0.4032441137045824,1.0,-0.08123623944599233,-0.07984636960487998,0.15114173098063566,-0.3567530340063379,-0.06210273191490665,0.4526019054848144,-0.2659695218051501,-0.26691907246540336,0.22179547112466663,-0.26691907246540336,-0.0778498944161523
mixin,0.15555555555555556,0.18867401410338308,0.3578300267477955,-0.005476267312112713,-0.08123623944599233,1.0,0.2321726094326961,0.4547940268270977,0.6180700462007377,-0.050964719143762556,0.3333333333333333,0.16976428667549412,0.05185185185185185,-0.050964719143762556,0.05185185185185185,-0.24845199749997662
mode,0.42470599286468796,0.41281272698065485,0.12434118282549846,0.20513587275572404,-0.07984636960487998,0.2321726094326961,1.0,0.32660542964119055,-0.07460470969529907,0.10822510822510822,0.01698823971458752,0.47306844125299624,-0.13024317114517098,0.3852813852813853,0.050964719143762556,0.037986858819879316
phase,0.3721042037676254,0.13315005718713654,0.060522753266880246,-0.07132097307273312,0.15114173098063566,0.4547940268270977,0.32660542964119055,1.0,0.060522753266880246,0.010535659020683567,0.20672455764868078,0.25471776097404686,0.013781637176578718,0.3476767476825577,0.013781637176578718,-0.09245003270420485
quality,0.09759000729485333,0.02857142857142857,0.14285714285714285,0.07214791053658227,-0.3567530340063379,0.6180700462007377,-0.07460470969529907,0.060522753266880246,1.0,0.07460470969529907,0.09759000729485333,0.264542338634135,0.3578300267477955,-0.12434118282549846,-0.16265001215808886,-0.2182178902359924
relator,-0.01698823971458752,0.06465741506925919,-0.32328707534629597,-0.33910215700436014,-0.06210273191490665,-0.050964719143762556,0.10822510822510822,0.010535659020683567,0.07460470969529907,1.0,0.11891767800211263,0.19676297999018427,-0.050964719143762556,-0.10822510822510822,-0.4133804997216296,-0.18993429409939658
role,0.06666666666666667,0.09759000729485331,-0.09759000729485333,-0.2792896329177484,0.4526019054848144,0.3333333333333333,0.01698823971458752,0.20672455764868078,0.09759000729485333,0.11891767800211263,1.0,-0.01642880193633814,-0.2,-0.01698823971458752,-0.022222222222222223,-0.29814239699997197
roleMixin,0.3778624445357772,-0.1298662389658481,-0.12024651756097046,0.3522267206477733,-0.2659695218051501,0.16976428667549412,0.47306844125299624,0.25471776097404686,0.264542338634135,0.19676297999018427,-0.01642880193633814,1.0,-0.005476267312112713,0.19676297999018427,-0.005476267312112713,-0.18367958959266126
situation,-0.022222222222222223,-0.2277100170213244,0.09759000729485331,0.5202453946507077,-0.26691907246540336,0.05185185185185185,-0.13024317114517098,0.013781637176578718,0.3578300267477955,-0.050964719143762556,-0.2,-0.005476267312112713,1.0,-0.2321726094326961,-0.18518518518518517,0.3478327964999673
subkind,0.5266354311522131,0.06465741506925919,0.07460470969529907,0.06279669574154817,0.22179547112466663,-0.050964719143762556,0.3852813852813853,0.3476767476825577,-0.12434118282549846,-0.10822510822510822,-0.01698823971458752,0.19676297999018427,-0.2321726094326961,1.0,0.13024317114517098,-0.037986858819879316
none,-0.2,-0.2277100170213244,-0.16265001215808886,0.34500484066310094,-0.26691907246540336,0.05185185185185185,0.050964719143762556,0.013781637176578718,-0.16265001215808886,-0.4133804997216296,-0.022222222222222223,-0.005476267312112713,-0.18518518518518517,0.13024317114517098,1.0,0.14907119849998599
other,0.14907119849998599,-0.13093073414159545,0.0,0.25715142542972574,-0.0778498944161523,-0.24845199749997662,0.037986858819879316,-0.09245003270420485,-0.2182178902359924,-0.18993429409939658,-0.29814239699997197,-0.18367958959266126,0.3478327964999673,-0.037986858819879316,0.14907119849998599,1.0
