year,num_models,ratio
2005,1,0.02564102564102564
2007,1,0.02564102564102564
2011,1,0.02564102564102564
2012,2,0.05128205128205128
2013,2,0.05128205128205128
2014,2,0.05128205128205128
2015,8,0.20512820512820512
2016,4,0.10256410256410256
2017,8,0.20512820512820512
2018,10,0.2564102564102564
