stereotype,total_correlation,rank
category,3.8051882682800033,8
event,3.990519990486834,6
kind,4.3319483990068415,2
mode,3.095348397110336,16
phase,2.622349597025389,17
relator,3.6871876172360625,9
role,3.1203233469155824,14
roleMixin,4.312794295972934,3
subkind,3.618398784513952,11
none_c,3.4099886693461356,13
other_c,2.5686911095261533,18
characterization,4.287350123719242,4
componentOf,3.1109117796493084,15
derivation,4.083575108915972,5
material,3.8189962787258147,7
mediation,4.409860066748,1
none_r,3.683565736846253,10
other_r,3.417777694093223,12
