Stereotype,category,collective,datatype,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.06170401562194795,0.1108672199777667,0.08643295284087217,0.04988196601760009,0.2860714218851302,0.06994356657324603,0.2186690484379583,0.06673902401554165,0.05454249953534229,0.25009642949147154,0.18328314687117214,0.23009371914537696,0.2732941599675136,0.03561419644549933,0.07502362970457471
collective,0.06170401562194795,1.0,0.11535006734326249,0.0463887323376637,0.15025832108442744,0.13748470519448056,0.26926529822546447,0.04176555551960695,0.1481449949813801,0.05251214312046156,0.06732951473836168,0.26372142176425506,0.18375983185669492,0.029497873218126438,0.12749544089864023,0.0690483235576149
datatype,0.1108672199777667,0.11535006734326249,1.0,0.07645537727795078,0.11962153239941,0.009680930919964552,0.008106644895664648,0.17462518307981614,0.1319077071397325,0.09317214111877581,0.08037669799848468,0.17857689588114534,0.07035887114054175,0.08113102515839489,0.048240413222115926,0.015693774294246
event,0.08643295284087217,0.0463887323376637,0.07645537727795078,1.0,0.2818783038259592,0.16774981536146175,0.009395315519720974,0.11369217105830116,0.1429691596985464,0.15401336260797396,0.27705101966210915,0.5265475381331455,0.026543698787746716,0.31635249792371933,0.09044219792651616,0.114578584474279
kind,0.04988196601760009,0.15025832108442744,0.11962153239941,0.2818783038259592,1.0,0.016996945489707087,0.24936830792997547,0.06684850424290506,0.2173051377671553,0.3960485341501409,0.23668872187159268,0.22785227260386098,0.44672217243744516,0.2464179679792305,0.08769609930037936,0.022192189831997177
mode,0.2860714218851302,0.13748470519448056,0.009680930919964552,0.16774981536146175,0.016996945489707087,1.0,0.0775904051491087,0.20547051006397707,0.08541732151616048,0.08604573488412812,0.21601100848115387,0.07272957958748295,0.15624808174843507,0.1912892031358633,0.053198271152281665,0.12383877549288412
phase,0.06994356657324603,0.26926529822546447,0.008106644895664648,0.009395315519720974,0.24936830792997547,0.0775904051491087,1.0,0.08852058306780994,0.10185798029412103,0.2640875455922479,0.024305578119208405,0.06132679395672217,0.3035051606873295,0.048138231718447215,0.055856248810501156,0.02818937791846128
quality,0.2186690484379583,0.04176555551960695,0.17462518307981614,0.11369217105830116,0.06684850424290506,0.20547051006397707,0.08852058306780994,1.0,0.16787559899918217,0.05027637592726932,0.08858150318000325,0.2287968983373927,0.18430480692335505,0.25825205486098324,0.12562804556466078,0.16914575146423397
relator,0.06673902401554165,0.1481449949813801,0.1319077071397325,0.1429691596985464,0.2173051377671553,0.08541732151616048,0.10185798029412103,0.16787559899918217,1.0,0.21516517520583023,0.13770640833893677,0.1398654767740788,0.16654458730461888,0.02430056739432851,0.24312295364607062,0.1315457477196903
role,0.05454249953534229,0.05251214312046156,0.09317214111877581,0.15401336260797396,0.3960485341501409,0.08604573488412812,0.2640875455922479,0.05027637592726932,0.21516517520583023,1.0,0.007956717619931808,0.1958528898358061,0.03876308615504376,0.14732279796322492,0.01406946421516552,0.05273442239403174
roleMixin,0.25009642949147154,0.06732951473836168,0.08037669799848468,0.27705101966210915,0.23668872187159268,0.21601100848115387,0.024305578119208405,0.08858150318000325,0.13770640833893677,0.007956717619931808,1.0,0.14160630305187016,0.027155770134871988,0.3059548858790849,0.05739427585468525,0.14991031348445516
situation,0.18328314687117214,0.26372142176425506,0.17857689588114534,0.5265475381331455,0.22785227260386098,0.07272957958748295,0.06132679395672217,0.2287968983373927,0.1398654767740788,0.1958528898358061,0.14160630305187016,1.0,0.105315405731762,0.12139993441780589,0.008253539742703323,0.19940620135090115
subkind,0.23009371914537696,0.18375983185669492,0.07035887114054175,0.026543698787746716,0.44672217243744516,0.15624808174843507,0.3035051606873295,0.18430480692335505,0.16654458730461888,0.03876308615504376,0.027155770134871988,0.105315405731762,1.0,0.01611517436216497,0.133908638705316,0.07178398819002771
type,0.2732941599675136,0.029497873218126438,0.08113102515839489,0.31635249792371933,0.2464179679792305,0.1912892031358633,0.048138231718447215,0.25825205486098324,0.02430056739432851,0.14732279796322492,0.3059548858790849,0.12139993441780589,0.01611517436216497,1.0,0.07142685640825987,0.13843092918401753
none,0.03561419644549933,0.12749544089864023,0.048240413222115926,0.09044219792651616,0.08769609930037936,0.053198271152281665,0.055856248810501156,0.12562804556466078,0.24312295364607062,0.01406946421516552,0.05739427585468525,0.008253539742703323,0.133908638705316,0.07142685640825987,1.0,0.09905322400521774
other,0.07502362970457471,0.0690483235576149,0.015693774294246,0.114578584474279,0.022192189831997177,0.12383877549288412,0.02818937791846128,0.16914575146423397,0.1315457477196903,0.05273442239403174,0.14991031348445516,0.19940620135090115,0.07178398819002771,0.13843092918401753,0.09905322400521774,1.0
