Stereotype,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers
bringsAbout,0.44941365653609217,0.25979262564971284,0.09128798261285771,0.12316116869651252,0.06396275640175514,0.05174179944507197,0.10786466469046821,0.03734929216504813,0.13381836451877704,0.11129687250927041,0.10855922541423393,0.17377356564970206,0.16756280000960738,0.04289416655144818,0.273628429714287,0.027013914569448613,0.0051407297588664524,0.0033968534332530637,0.05496030526120189,0.20256938198386662
characterization,0.25979262564971284,2.2014233471935487,0.14045464933479673,0.6503600393565174,0.2868501320479007,0.3980190804150453,0.43788107671875504,0.336153855832338,0.30432355596354416,0.3574564832285951,0.27797818779385347,0.7585624657181058,0.9855825522569108,0.39749682172158124,0.5334594398736183,0.08149585126578499,0.12842805650471334,0.13093750645744956,0.06840803841060922,0.24054349997248278
comparative,0.09128798261285771,0.14045464933479673,0.2710409022630075,0.17315333936185187,0.0817742363586394,0.07381181729629449,0.010382246130414663,0.010887910889417443,0.04690832233256381,0.007929705172798313,0.033235620246900584,0.21700160196344756,0.17310189034573054,0.09257350276912048,0.10399827492518761,0.0016540908430276446,0.0025026610878161742,0.0016540908430276446,0.08365471593375423,0.030062294607317963
componentOf,0.12316116869651252,0.6503600393565174,0.17315333936185187,1.5772054723089168,0.20501034254587425,0.37232565186274036,0.17903475077028594,0.28720841437685035,0.16604316909894828,0.1975238891926068,0.14658070319639127,0.6867076089499314,0.7464542981478612,0.37734594422095896,0.27656174722076104,0.03632465699815095,0.17175211091656928,0.12567222338717438,0.07479340280084526,0.0635813878749257
creation,0.06396275640175514,0.2868501320479007,0.0817742363586394,0.20501034254587425,0.7163049743791817,0.12360578383413795,0.18852702176568914,0.06185970588511517,0.1686591503873824,0.23809261025943837,0.1897197017366116,0.20689837765179822,0.37510188027364644,0.16310925050242767,0.48692890420771195,0.11101712055832758,0.07259230537863356,0.03989597040390215,0.12525501685295704,0.034349316191425325
derivation,0.05174179944507197,0.3980190804150453,0.07381181729629449,0.37232565186274036,0.12360578383413795,1.1772029672681417,0.0803236840651886,0.25596097642604687,0.06084920632021074,0.057800868340795654,0.03630715096185934,0.7001913255444726,0.6691276970837224,0.23535812643614085,0.13423027450263517,0.012654469118759247,0.1363558588335534,0.09078427351874706,0.042174354017772794,0.05456501326281287
externalDependence,0.10786466469046821,0.43788107671875504,0.010382246130414663,0.17903475077028594,0.18852702176568914,0.0803236840651886,0.8504548182222013,0.15686713915777095,0.1900196869505688,0.3411929824783221,0.24300334852387767,0.13909291063674822,0.409777221495082,0.1432237456356438,0.3425249490781779,0.08879619019512172,0.028697354282176277,0.02534219089878044,0.07716066848578323,0.10721553684105234
formal,0.03734929216504813,0.336153855832338,0.010887910889417443,0.28720841437685035,0.06185970588511517,0.25596097642604687,0.15686713915777095,0.9163260828821667,0.0895985633485353,0.1190250432859686,0.12664200791597052,0.3108018150100898,0.4738890601505471,0.2702022861391524,0.16182504796720398,0.007190403002132251,0.1462185898947787,0.08639662943836696,0.007190403002132251,0.03605030744339772
historicalDependence,0.13381836451877704,0.30432355596354416,0.04690832233256381,0.16604316909894828,0.1686591503873824,0.06084920632021074,0.1900196869505688,0.0895985633485353,0.5921761580593148,0.2571867958432209,0.18726319513963444,0.14980563138680314,0.29186851551731097,0.09378706541423956,0.385191456327161,0.079589773699818,0.05761623202425437,0.027921622207921284,0.02848439837899406,0.11552159261435442
instantiation,0.11129687250927041,0.3574564832285951,0.007929705172798313,0.1975238891926068,0.23809261025943837,0.057800868340795654,0.3411929824783221,0.1190250432859686,0.2571867958432209,0.706805729141622,0.3624646487092444,0.13794050470461083,0.3260037883916102,0.12932229611079243,0.36825509223442543,0.05438089171348845,0.02666398622548498,0.024134417503956368,0.06990562752555707,0.09331895400827767
manifestation,0.10855922541423393,0.27797818779385347,0.033235620246900584,0.14658070319639127,0.1897197017366116,0.03630715096185934,0.24300334852387767,0.12664200791597052,0.18726319513963444,0.3624646487092444,0.5070665546631095,0.07657165447051886,0.22283634054439574,0.056748567055123086,0.32080791773498923,0.003696616010150776,0.005594622869974135,0.003696616010150776,0.04977906569750708,0.10225455756821687
material,0.17377356564970206,0.7585624657181058,0.21700160196344756,0.6867076089499314,0.20689837765179822,0.7001913255444726,0.13909291063674822,0.3108018150100898,0.14980563138680314,0.13794050470461083,0.07657165447051886,1.8111633231210817,0.9958216985204964,0.39673922978631454,0.31448977014193036,0.03411257818070585,0.15233163078145096,0.13869426209312113,0.09233936871056256,0.09725894700881818
mediation,0.16756280000960738,0.9855825522569108,0.17310189034573054,0.7464542981478612,0.37510188027364644,0.6691276970837224,0.409777221495082,0.4738890601505471,0.29186851551731097,0.3260037883916102,0.22283634054439574,0.9958216985204964,2.397869349664764,0.577075591349432,0.5269811174294541,0.13822128066792322,0.20871340327699334,0.17720882658061343,0.10015517313032793,0.1296766479530348
memberOf,0.04289416655144818,0.39749682172158124,0.09257350276912048,0.37734594422095896,0.16310925050242767,0.23535812643614085,0.1432237456356438,0.2702022861391524,0.09378706541423956,0.12932229611079243,0.056748567055123086,0.39673922978631454,0.577075591349432,0.9888964071933176,0.20985120091198306,0.05447483424052105,0.17124176312014472,0.12525501685295565,0.058934727318008695,0.031018395794976242
participation,0.273628429714287,0.5334594398736183,0.10399827492518761,0.27656174722076104,0.48692890420771195,0.13423027450263517,0.3425249490781779,0.16182504796720398,0.385191456327161,0.36825509223442543,0.32080791773498923,0.31448977014193036,0.5269811174294541,0.20985120091198306,1.1287793144774056,0.14985062873470892,0.07630384159652917,0.06708240472768312,0.11398433099019364,0.18307923365513645
participational,0.027013914569448613,0.08149585126578499,0.0016540908430276446,0.03632465699815095,0.11101712055832758,0.012654469118759247,0.08879619019512172,0.007190403002132251,0.079589773699818,0.05438089171348845,0.003696616010150776,0.03411257818070585,0.13822128066792322,0.05447483424052105,0.14985062873470892,0.17720882658061288,0.036983401748378074,0.03656465168684261,0.03656465168684261,0.01750154694630774
subCollectionOf,0.0051407297588664524,0.12842805650471334,0.0025026610878161742,0.17175211091656928,0.07259230537863356,0.1363558588335534,0.028697354282176277,0.1462185898947787,0.05761623202425437,0.02666398622548498,0.005594622869974135,0.15233163078145096,0.20871340327699334,0.17124176312014472,0.07630384159652917,0.036983401748378074,0.2710409022630075,0.11912604150647473,0.0016540908430276446,0.004245423678042419
subQuantityOf,0.0033968534332530637,0.13093750645744956,0.0016540908430276446,0.12567222338717438,0.03989597040390215,0.09078427351874706,0.02534219089878044,0.08639662943836696,0.027921622207921284,0.024134417503956368,0.003696616010150776,0.13869426209312113,0.17720882658061343,0.12525501685295565,0.06708240472768312,0.03656465168684261,0.11912604150647473,0.17720882658061288,0.0010933261141221132,0.002805493325345472
termination,0.05496030526120189,0.06840803841060922,0.08365471593375423,0.07479340280084526,0.12525501685295704,0.042174354017772794,0.07716066848578323,0.007190403002132251,0.02848439837899406,0.06990562752555707,0.04977906569750708,0.09233936871056256,0.10015517313032793,0.058934727318008695,0.11398433099019364,0.03656465168684261,0.0016540908430276446,0.0010933261141221132,0.17720882658061288,0.01750154694630774
triggers,0.20256938198386662,0.24054349997248278,0.030062294607317963,0.0635813878749257,0.034349316191425325,0.05456501326281287,0.10721553684105234,0.03605030744339772,0.11552159261435442,0.09331895400827767,0.10225455756821687,0.09725894700881818,0.1296766479530348,0.031018395794976242,0.18307923365513645,0.01750154694630774,0.004245423678042419,0.002805493325345472,0.01750154694630774,0.35862996089156685
