Percentage,Top k Stereotypes,Coverage
10.0,2,0.4440420137631293
20.0,4,0.7299891343716045
30.0,6,0.837921043100326
40.0,8,0.9128938790293372
50.0,10,0.9605215501629845
60.0,12,0.984425932633104
70.0,14,0.9945671858022456
80.0,16,0.9983701557406737
90.0,18,1.0
100.0,21,1.0
