Stereotype,category,collective,datatype,enumeration,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,none,other
category,1.0,0.07472453957589524,0.13295084501338433,-0.11340584519443857,0.11486390969687052,0.08832155900960513,0.2672155114217641,-0.09172272325111741,0.24036754146298714,-0.10333628213544258,-0.17320849151159376,0.23777360821093688,0.20153189295930915,0.21607701745359664,0.3391626898493648,0.0015332903510426443,-0.05909630864038658
collective,0.07472453957589524,1.0,0.11933197922148109,0.0022301620505318464,-0.0628914312483588,0.2195686068562145,0.1267397271118785,0.25011814109421054,-0.06067747358916077,0.11583590757647942,0.051162797762685626,-0.06761726087185832,-0.26463087466802526,0.14808263204511332,0.03216562340561914,-0.1315554634212597,-0.0747101429376725
datatype,0.13295084501338433,0.11933197922148109,1.0,0.26464089377492717,0.05918200141874738,0.11807056902200518,-0.026687853310719087,0.008183619433667091,0.15925017982360654,-0.13208881871670086,-0.17799757090405852,-0.07368824377545344,0.16037787263557657,0.06964261046358068,0.08938157650667547,0.061199798480228725,0.004316617649248784
enumeration,-0.11340584519443857,0.0022301620505318464,0.26464089377492717,1.0,-0.016401387872729007,0.16674293112400693,-0.0494702095495534,0.060281021951303596,0.0690314442905736,0.08367472767181298,0.03614543302236493,0.023907156830997693,0.08342746438263864,0.006327141074262678,0.06823776467915577,-0.11094811295670122,-0.11932740675353826
event,0.11486390969687052,-0.0628914312483588,0.05918200141874738,-0.016401387872729007,1.0,-0.30061416180704437,0.15260166582980347,0.029359750933988554,0.12601145533519634,-0.1508036884135783,-0.13798867519015678,0.3214544857967257,0.5101525437201249,-0.03855364869125584,0.34291129957734245,0.1706708487518875,0.09104189068301105
kind,0.08832155900960513,0.2195686068562145,0.11807056902200518,0.16674293112400693,-0.30061416180704437,1.0,0.010198150161831928,0.2301599849568405,0.09724818703946808,0.30717050009244995,0.3289226665756687,-0.3100581827920629,-0.2449311387351239,0.5392290454869604,-0.22143678255907512,-0.133884013446782,-0.027658320915226634
mode,0.2672155114217641,0.1267397271118785,-0.026687853310719087,-0.0494702095495534,0.15260166582980347,0.010198150161831928,1.0,0.061284146588240176,0.18588584309204378,0.033970102904940375,0.09976187927082275,0.20086043363432465,-0.09059864517389352,0.12106681440968699,0.18977509004312165,0.07368550234289985,-0.12806094029869014
phase,-0.09172272325111741,0.25011814109421054,0.008183619433667091,0.060281021951303596,0.029359750933988554,0.2301599849568405,0.061284146588240176,1.0,0.10701136439959975,0.1935180946285741,0.3109315654642673,-0.006945388640157479,-0.07452623446025364,0.29616156978821484,-0.04320764321625076,-0.11006480947361788,0.027018513316533762
quality,0.24036754146298714,-0.06067747358916077,0.15925017982360654,0.0690314442905736,0.12601145533519634,0.09724818703946808,0.18588584309204378,0.10701136439959975,1.0,0.13246878973969484,0.03152192754351071,0.10082750075338467,0.22370612905755838,0.2766133123027017,0.2322124480912226,0.13857172179847774,-0.18526426637807478
relator,-0.10333628213544258,0.11583590757647942,-0.13208881871670086,0.08367472767181298,-0.1508036884135783,0.30717050009244995,0.033970102904940375,0.1935180946285741,0.13246878973969484,1.0,0.3729960965119697,0.1571977353831309,-0.17426645704259583,0.18353500212075474,-0.010196512992960306,-0.22833209725664877,-0.118861412130032
role,-0.17320849151159376,0.051162797762685626,-0.17799757090405852,0.03614543302236493,-0.13798867519015678,0.3289226665756687,0.09976187927082275,0.3109315654642673,0.03152192754351071,0.3729960965119697,1.0,-0.019674713665924666,-0.19711270212981985,0.08186743247178226,-0.15268626890739084,-0.03885951608128745,-0.03241265517685013
roleMixin,0.23777360821093688,-0.06761726087185832,-0.07368824377545344,0.023907156830997693,0.3214544857967257,-0.3100581827920629,0.20086043363432465,-0.006945388640157479,0.10082750075338467,0.1571977353831309,-0.019674713665924666,1.0,0.1935226023361323,-0.07914992016243352,0.369926651258012,0.006312403666298541,-0.13527452290466357
situation,0.20153189295930915,-0.26463087466802526,0.16037787263557657,0.08342746438263864,0.5101525437201249,-0.2449311387351239,-0.09059864517389352,-0.07452623446025364,0.22370612905755838,-0.17426645704259583,-0.19711270212981985,0.1935226023361323,1.0,-0.09331471863540738,0.14836827327541774,0.026446838851258866,0.20264811999329874
subkind,0.21607701745359664,0.14808263204511332,0.06964261046358068,0.006327141074262678,-0.03855364869125584,0.5392290454869604,0.12106681440968699,0.29616156978821484,0.2766133123027017,0.18353500212075474,0.08186743247178226,-0.07914992016243352,-0.09331471863540738,1.0,-0.019872779380620206,-0.10988245277605758,-0.09197563385652383
type,0.3391626898493648,0.03216562340561914,0.08938157650667547,0.06823776467915577,0.34291129957734245,-0.22143678255907512,0.18977509004312165,-0.04320764321625076,0.2322124480912226,-0.010196512992960306,-0.15268626890739084,0.369926651258012,0.14836827327541774,-0.019872779380620206,1.0,0.08420195461607233,-0.1374427930892426
none,0.0015332903510426443,-0.1315554634212597,0.061199798480228725,-0.11094811295670122,0.1706708487518875,-0.133884013446782,0.07368550234289985,-0.11006480947361788,0.13857172179847774,-0.22833209725664877,-0.03885951608128745,0.006312403666298541,0.026446838851258866,-0.10988245277605758,0.08420195461607233,1.0,0.11438837401244879
other,-0.05909630864038658,-0.0747101429376725,0.004316617649248784,-0.11932740675353826,0.09104189068301105,-0.027658320915226634,-0.12806094029869014,0.027018513316533762,-0.18526426637807478,-0.118861412130032,-0.03241265517685013,-0.13527452290466357,0.20264811999329874,-0.09197563385652383,-0.1374427930892426,0.11438837401244879,1.0
