Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,83,1,83,11.354309165526676
relator,77,2,160,21.88782489740082
subkind,73,3,233,31.874145006839942
category,69,4,302,41.313269493844054
role,68,5,370,50.6155950752394
event,45,6,415,56.771545827633375
mode,45,7,460,62.927496580027366
roleMixin,42,8,502,68.67305061559507
quality,36,9,538,73.59781121751026
phase,31,10,569,77.83857729138167
collective,25,11,594,81.25854993160054
datatype,21,12,615,84.1313269493844
situation,19,13,634,86.73050615595075
type,19,14,653,89.3296853625171
other,17,15,670,91.65526675786595
none,15,16,685,93.70725034199727
mixin,15,17,700,95.7592339261286
quantity,8,18,708,96.85362517099864
phaseMixin,8,19,716,97.94801641586868
enumeration,7,20,723,98.90560875512996
historicalRole,4,21,727,99.45280437756497
historicalRoleMixin,3,22,730,99.86320109439124
abstract,1,23,731,100.0
