stereotype,total_correlation,rank
category,2.455292055737736,6
collective,1.8020427634364449,13
datatype,1.656991050150061,14
enumeration,1.2741991031795363,17
event,2.62550284496682,3
kind,3.3442148005803656,1
mode,1.8178625151442143,12
phase,1.900494571596837,11
quality,2.366669584697261,8
relator,2.4982522253177657,4
role,2.243250392190154,10
roleMixin,2.3041908106824973,9
situation,2.889562508056435,2
subkind,2.371351731118953,7
type,2.481186151447544,5
none,1.5405371982829696,16
other,1.549497918735442,15
