stereotype,total_correlation,rank
category,2.103830501308977,9
collective,1.8765453976633926,13
datatype,1.347146972025656,17
event,2.502750930557461,3
kind,2.6878489426592744,1
mixin,1.680310919006526,15
mode,2.3318683609663475,6
phase,2.052499316808792,11
quality,2.4739371251425304,4
relator,2.2157542454865067,7
role,2.0361028857242363,12
roleMixin,2.0900643342575957,10
situation,2.646232298968418,2
subkind,2.157344426233118,8
type,2.357799469307674,5
none,1.3555431608671302,16
other,1.7634282338972471,14
