Stereotype,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
characterization,1.0,0.2765639949539333,0.09635457914338531,0.05779247883427461,0.34737860056142716,0.1829636175749421,0.25428208447108025,0.2587792058518904,0.13974077116002082,0.38446981674606734,0.1630356391636949,0.2748694070628546
componentOf,0.2765639949539333,1.0,-0.0049437994534402,0.019041840611165817,-0.006039347703539431,0.07127600043607227,0.1611678621821505,0.17855645808683032,0.2558583393317385,0.1530894806088411,0.3653018872368247,-0.0671229135379228
creation,0.09635457914338531,-0.0049437994534402,1.0,0.025453748449154538,0.2140949265844824,0.32698921088523103,0.384192439862543,0.37234281953292986,-0.07567943486441663,0.08114539371287922,0.0942500360755127,0.6706243468993539
derivation,0.05779247883427461,0.019041840611165817,0.025453748449154538,1.0,-0.06840748398460673,-0.13211031413252308,-0.14559544112916395,-0.16592595585242376,0.4876877756473265,0.42109297782879396,0.23489478196744012,-0.07411457316509756
externalDependence,0.34737860056142716,-0.006039347703539431,0.2140949265844824,-0.06840748398460673,1.0,0.3717826272108358,0.5499301055405332,0.42527015043934235,-0.23112508176051214,0.08013280734433816,0.11513588775027388,0.3467843097672339
historicalDependence,0.1829636175749421,0.07127600043607227,0.32698921088523103,-0.13211031413252308,0.3717826272108358,1.0,0.56479954607449,0.5673665146135802,-0.0545544725589981,0.06304815565728975,0.047958581670432134,0.5105777660380579
instantiation,0.25428208447108025,0.1611678621821505,0.384192439862543,-0.14559544112916395,0.5499301055405332,0.56479954607449,1.0,0.796147654773663,-0.1816306436745999,-0.027696331985833027,-0.029938246753398155,0.48174774961671946
manifestation,0.2587792058518904,0.17855645808683032,0.37234281953292986,-0.16592595585242376,0.42527015043934235,0.5673665146135802,0.796147654773663,1.0,-0.125,-0.03638288946190448,0.01465158871516513,0.5075672576839417
material,0.13974077116002082,0.2558583393317385,-0.07567943486441663,0.4876877756473265,-0.23112508176051214,-0.0545544725589981,-0.1816306436745999,-0.125,1.0,0.32102549525209834,0.250297973884071,-0.11760704751213284
mediation,0.38446981674606734,0.1530894806088411,0.08114539371287922,0.42109297782879396,0.08013280734433816,0.06304815565728975,-0.027696331985833027,-0.03638288946190448,0.32102549525209834,1.0,0.3300312689000352,0.051267126597692815
memberOf,0.1630356391636949,0.3653018872368247,0.0942500360755127,0.23489478196744012,0.11513588775027388,0.047958581670432134,-0.029938246753398155,0.01465158871516513,0.250297973884071,0.3300312689000352,1.0,0.0607630084422252
participation,0.2748694070628546,-0.0671229135379228,0.6706243468993539,-0.07411457316509756,0.3467843097672339,0.5105777660380579,0.48174774961671946,0.5075672576839417,-0.11760704751213284,0.051267126597692815,0.0607630084422252,1.0
