Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
characterization,1.0,0.25877501879307474,0.1128453915495247,0.01672156117949459,0.3755886761766035,0.27233103843182466,0.12759380529160688,0.3593572489488527,0.1508539028187797,0.29053976537027554
componentOf,0.25877501879307474,1.0,0.009176120070410932,0.03943827778846695,0.008059459178326673,0.14138741168280453,0.2868004390882181,0.213605149327205,0.38384242067659996,0.07630650744876001
creation,0.1128453915495247,0.009176120070410932,1.0,0.01774115136548502,0.20499758631043957,0.3759956638661758,0.06988180881484797,0.10299719695814051,0.08831500876111277,0.6645432718475928
derivation,0.01672156117949459,0.03943827778846695,0.01774115136548502,1.0,0.07575072897360859,0.15331428790689036,0.4655576609678249,0.39402446190909773,0.22292587592797072,0.0896102574535655
externalDependence,0.3755886761766035,0.008059459178326673,0.20499758631043957,0.07575072897360859,1.0,0.535564613346013,0.24120197105559615,0.08511927047499815,0.11243260999354311,0.3444264151962903
instantiation,0.27233103843182466,0.14138741168280453,0.3759956638661758,0.15331428790689036,0.535564613346013,1.0,0.16902115154218128,0.03564864047646412,0.028204973916701376,0.49506929908442276
material,0.12759380529160688,0.2868004390882181,0.06988180881484797,0.4655576609678249,0.24120197105559615,0.16902115154218128,1.0,0.3251504926014864,0.24559166507390728,0.11560734131603383
mediation,0.3593572489488527,0.213605149327205,0.10299719695814051,0.39402446190909773,0.08511927047499815,0.03564864047646412,0.3251504926014864,1.0,0.3529182399312173,0.025896655925392933
memberOf,0.1508539028187797,0.38384242067659996,0.08831500876111277,0.22292587592797072,0.11243260999354311,0.028204973916701376,0.24559166507390728,0.3529182399312173,1.0,0.056357113585578184
participation,0.29053976537027554,0.07630650744876001,0.6645432718475928,0.0896102574535655,0.3444264151962903,0.49506929908442276,0.11560734131603383,0.025896655925392933,0.056357113585578184,1.0
