Stereotype,characterization,componentOf,creation,derivation,externalDependence,instantiation,material,mediation,memberOf,participation
characterization,1.0,0.24213025402135338,0.1321585596364439,-0.004838183340108845,0.406089648136367,0.2916611079684252,0.11650271437352834,0.3358849687214324,0.13958236439830748,0.3071034938497607
componentOf,0.24213025402135338,1.0,-0.017031673784422215,0.08168211186518587,0.010755281105780093,0.12403465499697373,0.3214845061373822,0.2980424235397303,0.40332396042442253,-0.08674657836087515
creation,0.1321585596364439,-0.017031673784422215,1.0,0.012365504923637508,0.1962868110119524,0.3679737667319712,-0.0645283254557058,0.13073351543243844,0.08275371657392755,0.6585173386557359
derivation,-0.004838183340108845,0.08168211186518587,0.012365504923637508,1.0,-0.08388223927844395,-0.1614423548848919,0.44443175840965005,0.36869595257386834,0.2115668374665793,-0.1083457395485052
externalDependence,0.406089648136367,0.010755281105780093,0.1962868110119524,-0.08388223927844395,1.0,0.521574382232695,-0.2517182055619048,0.09041602866928401,0.10979280254804914,0.3420845526851923
instantiation,0.2916611079684252,0.12403465499697373,0.3679737667319712,-0.1614423548848919,0.521574382232695,1.0,-0.1572870584537829,0.04588425530392389,-0.0265720487974637,0.5087592232468946
material,0.11650271437352834,0.3214845061373822,-0.0645283254557058,0.44443175840965005,-0.2517182055619048,-0.1572870584537829,1.0,0.3293284938505151,0.24097384816111259,-0.1136416366951406
mediation,0.3358849687214324,0.2980424235397303,0.13073351543243844,0.36869595257386834,0.09041602866928401,0.04588425530392389,0.3293284938505151,1.0,0.377392374035547,0.013081224414640194
memberOf,0.13958236439830748,0.40332396042442253,0.08275371657392755,0.2115668374665793,0.10979280254804914,-0.0265720487974637,0.24097384816111259,0.377392374035547,1.0,0.05227068792549482
participation,0.3071034938497607,-0.08674657836087515,0.6585173386557359,-0.1083457395485052,0.3420845526851923,0.5087592232468946,-0.1136416366951406,0.013081224414640194,0.05227068792549482,1.0
