construct,x_value,y_value,quadrant
bringsAbout,0.0039893617021276,0.0195758564437194,Q3
characterization,0.0742021276595744,0.1109298531810766,Q1
comparative,0.0049202127659574,0.0097879282218597,Q3
componentOf,0.0732712765957446,0.0734094616639478,Q1
creation,0.0079787234042553,0.0293637846655791,Q2
derivation,0.0291223404255319,0.0636215334420881,Q1
externalDependence,0.0102393617021276,0.0358890701468189,Q1
historicalDependence,0.0058510638297872,0.0261011419249592,Q3
instantiation,0.0091755319148936,0.0277324632952691,Q4
manifestation,0.0045212765957446,0.0195758564437194,Q3
material,0.082845744680851,0.0880913539967373,Q1
mediation,0.2615691489361702,0.1256117455138662,Q1
memberOf,0.0269946808510638,0.0505709624796084,Q1
participation,0.0280585106382978,0.0473083197389885,Q1
participational,0.0022606382978723,0.0065252854812398,Q3
subCollectionOf,0.0035904255319148,0.0097879282218597,Q3
subQuantityOf,0.0018617021276595,0.0065252854812398,Q3
termination,0.0006648936170212,0.0048939641109298,Q3
triggers,0.002127659574468,0.0163132137030995,Q3
other,0.0706117021276595,0.0570962479608482,Q1
none,0.2961436170212766,0.1712887438825448,Q1
