construct,x_value,y_value,quadrant
bringsAbout,30,0.0039893617021276,Q3
characterization,558,0.0742021276595744,Q1
comparative,37,0.0049202127659574,Q3
componentOf,551,0.0732712765957446,Q1
creation,60,0.0079787234042553,Q3
derivation,219,0.0291223404255319,Q1
externalDependence,77,0.0102393617021276,Q1
historicalDependence,44,0.0058510638297872,Q3
instantiation,69,0.0091755319148936,Q1
manifestation,34,0.0045212765957446,Q3
material,623,0.082845744680851,Q1
mediation,1967,0.2615691489361702,Q1
memberOf,203,0.0269946808510638,Q1
participation,211,0.0280585106382978,Q1
participational,17,0.0022606382978723,Q3
subCollectionOf,27,0.0035904255319148,Q3
subQuantityOf,14,0.0018617021276595,Q3
termination,5,0.0006648936170212,Q3
triggers,16,0.002127659574468,Q3
other,531,0.0706117021276595,Q1
none,2227,0.2961436170212766,Q1
