Stereotype,average_quantity,rank,proportion
abstract,0,13,0.0
category,4,5,0.04878048780487805
collective,0,13,0.0
datatype,0,13,0.0
enumeration,0,13,0.0
event,3,7,0.036585365853658534
historicalRole,0,13,0.0
historicalRoleMixin,0,13,0.0
kind,10,3,0.12195121951219512
mixin,0,13,0.0
mode,3,7,0.036585365853658534
phase,2,10,0.024390243902439025
phaseMixin,0,13,0.0
quality,1,11,0.012195121951219513
quantity,0,13,0.0
relator,10,3,0.12195121951219512
role,27,1,0.32926829268292684
roleMixin,4,5,0.04878048780487805
situation,0,13,0.0
subkind,14,2,0.17073170731707318
type,1,11,0.012195121951219513
none,3,7,0.036585365853658534
other,0,13,0.0
