Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type,none,other
category,1.0,0.15685654976005156,0.11680027214714464,0.1882033314719852,0.3369449999161563,-0.024111397367365523,0.15389091416465345,0.04023642469939017,0.001941942722139325,0.3239298062477049,0.2677117319788486,0.42582544050212956,0.08744319280739013,-0.02292917342026894
collective,0.15685654976005156,1.0,-0.12182795642078362,0.25198907900711803,0.19621747723865307,0.22182893071421483,-0.10760692923439237,0.20257190997584942,0.10566921986981302,0.013276685943117619,0.1904751268476903,0.110634686854169,-0.13563534575029268,-0.06443722161357289
event,0.11680027214714464,-0.12182795642078362,1.0,-0.237842783046466,0.15189566179385658,0.019800384406350607,0.14617445851420224,-0.11700408087676978,-0.09461019345365175,0.2698776794239502,-0.016878782158023093,0.3336903066319619,0.1780542719219987,0.1321194763479621
kind,0.1882033314719852,0.25198907900711803,-0.237842783046466,1.0,0.06445054803140719,0.26197941477972186,0.07329171489566318,0.36467063510958403,0.38650836104573205,-0.18950045061688214,0.5646233840215196,-0.08759979175736882,-0.08920998151306544,-0.02520836497014129
mode,0.3369449999161563,0.19621747723865307,0.15189566179385658,0.06445054803140719,1.0,0.032401139058580095,0.09184269918074485,0.11798902653663736,0.14705406121857528,0.2628073853597932,0.13713958525660278,0.3387024180610599,0.14302922108129637,-0.052452263793185835
phase,-0.024111397367365523,0.22182893071421483,0.019800384406350607,0.26197941477972186,0.032401139058580095,1.0,0.09863340622821831,0.21014776091987464,0.3580336631933095,0.052565870833338045,0.3187331237178646,-0.02298164294422678,-0.06627312706238159,0.00956015117942627
quality,0.15389091416465345,-0.10760692923439237,0.14617445851420224,0.07329171489566318,0.09184269918074485,0.09863340622821831,1.0,0.09535269099636633,-0.010668656776688766,0.008103592774633607,0.2552440793481718,0.12361510329570881,0.054825919014278725,-0.187706880219008
relator,0.04023642469939017,0.20257190997584942,-0.11700408087676978,0.36467063510958403,0.11798902653663736,0.21014776091987464,0.09535269099636633,1.0,0.41845044680921456,0.20625671481662936,0.27252927481953493,0.10278987444507673,-0.18927913537596197,-0.06098488342694051
role,0.001941942722139325,0.10566921986981302,-0.09461019345365175,0.38650836104573205,0.14705406121857528,0.3580336631933095,-0.010668656776688766,0.41845044680921456,1.0,0.08139624555907327,0.17075456647255036,0.016260727211309164,0.006299785818287051,0.013634900814645797
roleMixin,0.3239298062477049,0.013276685943117619,0.2698776794239502,-0.18950045061688214,0.2628073853597932,0.052565870833338045,0.008103592774633607,0.20625671481662936,0.08139624555907327,1.0,-0.05243727977346417,0.4013329272653123,0.12578783548970246,-0.0671707802080196
subkind,0.2677117319788486,0.1904751268476903,-0.016878782158023093,0.5646233840215196,0.13713958525660278,0.3187331237178646,0.2552440793481718,0.27252927481953493,0.17075456647255036,-0.05243727977346417,1.0,0.06646755265415201,-0.14938915829182836,-0.08246675822363066
type,0.42582544050212956,0.110634686854169,0.3336903066319619,-0.08759979175736882,0.3387024180610599,-0.02298164294422678,0.12361510329570881,0.10278987444507673,0.016260727211309164,0.4013329272653123,0.06646755265415201,1.0,0.12768329688353422,-0.03232794025021945
none,0.08744319280739013,-0.13563534575029268,0.1780542719219987,-0.08920998151306544,0.14302922108129637,-0.06627312706238159,0.054825919014278725,-0.18927913537596197,0.006299785818287051,0.12578783548970246,-0.14938915829182836,0.12768329688353422,1.0,0.10753343561790475
other,-0.02292917342026894,-0.06443722161357289,0.1321194763479621,-0.02520836497014129,-0.052452263793185835,0.00956015117942627,-0.187706880219008,-0.06098488342694051,0.013634900814645797,-0.0671707802080196,-0.08246675822363066,-0.03232794025021945,0.10753343561790475,1.0
