stereotype,total_correlation,rank
category,2.0666111174379127,10
collective,2.0725742319553273,9
datatype,1.429355984863021,16
event,2.4307296426785188,4
kind,2.5452766278792414,2
mixin,1.9078082374514125,14
mode,2.4309395399557716,3
phase,1.976149381893169,12
quality,2.006394782124235,11
relator,2.082390382378718,8
role,1.9531764881833897,13
roleMixin,2.0866898359989436,7
situation,2.5893441239172663,1
subkind,2.176193761890222,6
type,2.3524284211326365,5
none,1.3129905940214264,17
other,1.557498315476039,15
