stereotype,total_correlation,rank
category,2.4299792256264845,14
collective,2.682122540473503,11
datatype,2.547726258476836,13
kind,2.683506846101166,10
phase,3.0080587183180234,7
relator,4.07249104225684,3
role,3.3985682177809244,4
roleMixin,2.2892933360850556,16
subkind,2.620716629122931,12
componentOf,3.1084133803373835,6
derivation,3.3913630454299146,5
material,4.11808601680926,2
mediation,4.13998558436077,1
memberOf,2.788291797861132,9
none_r,2.418694872055093,15
other_r,2.8605771759018364,8
