stereotype,total_correlation,rank
category,2.2781244793971807,14
collective,2.523430024208215,10
datatype,2.4066752436715,12
kind,2.398858492060568,13
phase,2.8780823750374482,6
relator,3.614318573281854,2
role,2.8776845283024834,7
roleMixin,2.1962038742061964,15
subkind,2.7218754965983885,8
componentOf,3.4772565983154093,3
derivation,2.929988042615199,5
material,3.437266327106432,4
mediation,3.735113572668154,1
memberOf,2.1555242440991496,16
none_r,2.407667800219402,11
other_r,2.624811842477681,9
