Stereotype,category,collective,event,kind,mixin,mode,phase,relator,role,subkind,type
category,1.0,0.2668882827967268,0.08591165848154882,0.2405790764811389,0.3291248134269718,0.49354481147251045,0.3990309511409879,0.16129378530311264,0.2047397793132204,0.569687542831738,0.42300176934619
collective,0.2668882827967268,1.0,0.34611789755166666,0.2016977028588406,0.3171694735599414,0.4166077881321332,0.16853512726818884,0.18608771202778854,0.12764166673366903,0.14218014973057072,0.22800358198307527
event,0.08591165848154882,0.34611789755166666,1.0,0.31547496746916537,0.039483579161098493,0.17852244650776053,0.05954180062633867,0.3286884588838749,0.07158561525058804,0.04379230108930911,0.26245482491264466
kind,0.2405790764811389,0.2016977028588406,0.31547496746916537,1.0,0.08567177981653518,0.10015528475105497,0.18000679131116495,0.0925684480444893,0.5032664129995156,0.3734687116001838,0.04183011592853391
mixin,0.3291248134269718,0.3171694735599414,0.039483579161098493,0.08567177981653518,1.0,0.41949333620162493,0.4374989641245208,0.1495294934780134,0.43486786118181164,0.16027713130953802,0.5160674894682586
mode,0.49354481147251045,0.4166077881321332,0.17852244650776053,0.10015528475105497,0.41949333620162493,1.0,0.2374158392773012,0.23030947581592415,0.1435533460036665,0.29918509457597325,0.39066477263605587
phase,0.3990309511409879,0.16853512726818884,0.05954180062633867,0.18000679131116495,0.4374989641245208,0.2374158392773012,1.0,0.1189196379247047,0.32502901222703906,0.3666330506531519,0.17900765801508098
relator,0.16129378530311264,0.18608771202778854,0.3286884588838749,0.0925684480444893,0.1495294934780134,0.23030947581592415,0.1189196379247047,1.0,0.28746069844736105,0.07954821907488832,0.22759480055293757
role,0.2047397793132204,0.12764166673366903,0.07158561525058804,0.5032664129995156,0.43486786118181164,0.1435533460036665,0.32502901222703906,0.28746069844736105,1.0,0.18443992616614607,0.31011926448358745
subkind,0.569687542831738,0.14218014973057072,0.04379230108930911,0.3734687116001838,0.16027713130953802,0.29918509457597325,0.3666330506531519,0.07954821907488832,0.18443992616614607,1.0,0.33515515724473566
type,0.42300176934619,0.22800358198307527,0.26245482491264466,0.04183011592853391,0.5160674894682586,0.39066477263605587,0.17900765801508098,0.22759480055293757,0.31011926448358745,0.33515515724473566,1.0
