Stereotype,category,collective,datatype,enumeration,event,kind,mixin,mode,quality,quantity,relator,role,situation,subkind
category,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,-0.5,-0.8660254037844387,1.0
collective,0.8660254037844387,1.0,-0.5,-0.5,-0.5,0.8660254037844387,-0.5,1.0,-0.5,-0.5,-0.5,0.0,-0.5,0.8660254037844387
datatype,-0.8660254037844387,-0.5,1.0,1.0,1.0,-0.8660254037844387,1.0,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387
enumeration,-0.8660254037844387,-0.5,1.0,1.0,1.0,-0.8660254037844387,1.0,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387
event,-0.8660254037844387,-0.5,1.0,1.0,1.0,-0.8660254037844387,1.0,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387
kind,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,-0.5,-0.8660254037844387,1.0
mixin,-0.8660254037844387,-0.5,1.0,1.0,1.0,-0.8660254037844387,1.0,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387
mode,0.8660254037844387,1.0,-0.5,-0.5,-0.5,0.8660254037844387,-0.5,1.0,-0.5,-0.5,-0.5,0.0,-0.5,0.8660254037844387
quality,-0.8660254037844387,-0.5,1.0,1.0,1.0,-0.8660254037844387,1.0,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387
quantity,-0.8660254037844387,-0.5,1.0,1.0,1.0,-0.8660254037844387,1.0,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387
relator,0.0,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,1.0,-0.8660254037844387,-0.5,0.0
role,-0.5,0.0,0.8660254037844387,0.8660254037844387,0.8660254037844387,-0.5,0.8660254037844387,0.0,0.8660254037844387,0.8660254037844387,-0.8660254037844387,1.0,0.8660254037844387,-0.5
situation,-0.8660254037844387,-0.5,1.0,1.0,1.0,-0.8660254037844387,1.0,-0.5,1.0,1.0,-0.5,0.8660254037844387,1.0,-0.8660254037844387
subkind,1.0,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,-0.8660254037844387,1.0,-0.8660254037844387,0.8660254037844387,-0.8660254037844387,-0.8660254037844387,0.0,-0.5,-0.8660254037844387,1.0
