Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.4619073971591957,2,0.2446351931330472
20.0,4,0.7649880095923262,4,0.47639484978540775
30.0,6,0.8771444382955175,6,0.6609442060085837
40.0,8,0.9311935067330751,8,0.7811158798283262
50.0,10,0.9693783434790629,10,0.8583690987124464
60.0,12,0.988009592326139,12,0.9184549356223176
70.0,14,0.9957572403615569,14,0.9656652360515021
80.0,16,1.0,16,1.0
90.0,18,1.0,18,1.0
100.0,21,1.0,21,1.0
