Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type
category,1.0,0.10380770244159683,0.1343065895587048,0.052047357847066024,0.3585866115923253,0.021495707612362795,0.2308917036094438,0.014918352477148775,0.0219950409014414,0.3033896190285088,0.31618069306066343,0.30259591281371473
collective,0.10380770244159683,1.0,0.0641969237932009,0.19440830441280313,0.19331094999710646,0.30332078881790364,0.06638532272043628,0.24646790848102812,0.14751979731885875,0.02079435940469135,0.18395620130887277,0.09736552594004363
event,0.1343065895587048,0.0641969237932009,1.0,0.23286641657913754,0.2329131340977257,0.08419177166807851,0.14650656890293534,0.015275599236514241,0.020882125147579998,0.30237322749025763,0.06617163316022202,0.35969123769774713
kind,0.052047357847066024,0.19440830441280313,0.23286641657913754,1.0,0.091123555522502,0.2699068457413618,0.050969469451089856,0.24859608282023032,0.41769158133571815,0.1609977814062662,0.4618321072707034,0.1829280651001457
mode,0.3585866115923253,0.19331094999710646,0.2329131340977257,0.091123555522502,1.0,0.14173424675305027,0.1912699593687017,0.18226241953147201,0.21245856267455665,0.2849039252089187,0.2594150014184796,0.29121255232550364
phase,0.021495707612362795,0.30332078881790364,0.08419177166807851,0.2699068457413618,0.14173424675305027,1.0,0.0674700065161996,0.1979598312212114,0.33473763344906116,0.07645470532781458,0.3133342695010278,0.010448434639604437
quality,0.2308917036094438,0.06638532272043628,0.14650656890293534,0.050969469451089856,0.1912699593687017,0.0674700065161996,1.0,0.13330353045457533,0.06833210986818032,0.05299515737669616,0.19723060434200923,0.15758656517715522
relator,0.014918352477148775,0.24646790848102812,0.015275599236514241,0.24859608282023032,0.18226241953147201,0.1979598312212114,0.13330353045457533,1.0,0.29214187187074514,0.16093924016241948,0.1933958283868901,0.014356851647180521
role,0.0219950409014414,0.14751979731885875,0.020882125147579998,0.41769158133571815,0.21245856267455665,0.33473763344906116,0.06833210986818032,0.29214187187074514,1.0,0.0858974744341452,0.13971233738165842,0.022723224039854495
roleMixin,0.3033896190285088,0.02079435940469135,0.30237322749025763,0.1609977814062662,0.2849039252089187,0.07645470532781458,0.05299515737669616,0.16093924016241948,0.0858974744341452,1.0,0.03275516049866034,0.36143456841899047
subkind,0.31618069306066343,0.18395620130887277,0.06617163316022202,0.4618321072707034,0.2594150014184796,0.3133342695010278,0.19723060434200923,0.1933958283868901,0.13971233738165842,0.03275516049866034,1.0,0.08146712113476495
type,0.30259591281371473,0.09736552594004363,0.35969123769774713,0.1829280651001457,0.29121255232550364,0.010448434639604437,0.15758656517715522,0.014356851647180521,0.022723224039854495,0.36143456841899047,0.08146712113476495,1.0
