Stereotype,average_quantity,rank,proportion
abstract,0,13,0.0
category,4,5,0.04938271604938271
collective,1,11,0.012345679012345678
datatype,0,13,0.0
enumeration,0,13,0.0
event,4,5,0.04938271604938271
historicalRole,0,13,0.0
historicalRoleMixin,0,13,0.0
kind,12,3,0.14814814814814814
mixin,0,13,0.0
mode,4,5,0.04938271604938271
phase,2,9,0.024691358024691357
phaseMixin,0,13,0.0
quality,1,11,0.012345679012345678
quantity,0,13,0.0
relator,9,4,0.1111111111111111
role,14,2,0.1728395061728395
roleMixin,4,5,0.04938271604938271
situation,0,13,0.0
subkind,24,1,0.2962962962962963
type,2,9,0.024691358024691357
