Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type
category,1.0,0.08562150654239141,0.1224744871391589,0.123921975716274,-0.012798443803844426,0.12365484170737448,0.35198210567432564,0.10050378152592121,0.2249395476470245,-0.0055624269936248106,0.010297792904610997,0.29074001994971976,0.16693403630495554,0.30237157840738177,0.24771684715343115
collective,0.08562150654239141,1.0,0.1835128767825767,-0.06044859476743449,0.1345806442731671,0.11017631587925096,0.18301245134942112,0.3154374851527111,-0.06280324875163784,0.22414145284834036,0.11352048985387159,-0.02652596563634256,-0.24185851924243978,0.17192252786730255,0.08100999518794752
datatype,0.1224744871391589,0.1835128767825767,1.0,0.10896509020292693,0.13062357008793268,0.09339147380903817,0.08544092011186792,0.020515248496555456,0.12377246779665153,-0.09764660637202707,-0.014714197221004185,-0.07588640210560982,0.14134925765692263,0.09919501068991622,0.08764598212022147
event,0.123921975716274,-0.06044859476743449,0.10896509020292693,1.0,-0.2330212403637126,-0.04656002426960063,0.2321473886839047,0.06442874441752998,0.13098431167694868,-0.038176999910447304,-0.09423676373585893,0.2748750567923671,0.5021410212367056,0.04503663869794593,0.3355741937541081
kind,-0.012798443803844426,0.1345806442731671,0.13062357008793268,-0.2330212403637126,1.0,-0.0015825895426651105,0.07092052739645832,0.2755880609857224,0.01814943665975136,0.17548435890205477,0.4477759715877087,-0.15189080850933098,-0.2646881010107397,0.37731385127734496,-0.2127684054583844
mixin,0.12365484170737448,0.11017631587925096,0.09339147380903817,-0.04656002426960063,-0.0015825895426651105,1.0,0.16703917301784235,0.16031835162298633,0.11246879855199891,-0.010317315441082543,0.228570265304122,0.14940463483979444,-0.016819571865443424,-0.030379139102628686,0.1831076276375332
mode,0.35198210567432564,0.18301245134942112,0.08544092011186792,0.2321473886839047,0.07092052739645832,0.16703917301784235,1.0,0.15918989692376762,0.18793523522099245,0.19843325329821984,0.16408837948265428,0.2924513001974971,-0.028526055955511814,0.24270214453760908,0.27414389385362475
phase,0.10050378152592121,0.3154374851527111,0.020515248496555456,0.06442874441752998,0.2755880609857224,0.16031835162298633,0.15918989692376762,1.0,0.0570096503864719,0.14227693909323386,0.27090264582839074,0.06442874441752998,-0.08761584332884136,0.3190896140869863,-0.006085806194501846
quality,0.2249395476470245,-0.06280324875163784,0.12377246779665153,0.13098431167694868,0.01814943665975136,0.11246879855199891,0.18793523522099245,0.0570096503864719,1.0,0.15449721153974783,0.12463136244286291,0.06898817839212955,0.2331006550634171,0.12013576615320007,0.1913906055615632
relator,-0.0055624269936248106,0.22414145284834036,-0.09764660637202707,-0.038176999910447304,0.17548435890205477,-0.010317315441082543,0.19843325329821984,0.14227693909323386,0.15449721153974783,1.0,0.19561366299145574,0.1381265066204378,-0.10179751235201441,0.14296318553624368,-0.0024496122264566693
role,0.010297792904610997,0.11352048985387159,-0.014714197221004185,-0.09423676373585893,0.4477759715877087,0.228570265304122,0.16408837948265428,0.27090264582839074,0.12463136244286291,0.19561366299145574,1.0,0.06895971512962593,-0.1524862911987109,0.08173619723533856,-0.06887529335616868
roleMixin,0.29074001994971976,-0.02652596563634256,-0.07588640210560982,0.2748750567923671,-0.15189080850933098,0.14940463483979444,0.2924513001974971,0.06442874441752998,0.06898817839212955,0.1381265066204378,0.06895971512962593,1.0,0.11021170301791543,0.04503663869794593,0.3006786755607567
situation,0.16693403630495554,-0.24185851924243978,0.14134925765692263,0.5021410212367056,-0.2646881010107397,-0.016819571865443424,-0.028526055955511814,-0.08761584332884136,0.2331006550634171,-0.10179751235201441,-0.1524862911987109,0.11021170301791543,1.0,-0.11917969955646639,0.0925748600695335
subkind,0.30237157840738177,0.17192252786730255,0.09919501068991622,0.04503663869794593,0.37731385127734496,-0.030379139102628686,0.24270214453760908,0.3190896140869863,0.12013576615320007,0.14296318553624368,0.08173619723533856,0.04503663869794593,-0.11917969955646639,1.0,0.06658003028611832
type,0.24771684715343115,0.08100999518794752,0.08764598212022147,0.3355741937541081,-0.2127684054583844,0.1831076276375332,0.27414389385362475,-0.006085806194501846,0.1913906055615632,-0.0024496122264566693,-0.06887529335616868,0.3006786755607567,0.0925748600695335,0.06658003028611832,1.0
