Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,subkind,type
category,1.0,0.12585668626220523,0.14556143004199643,0.211660690969853,0.36531504283981675,0.004597493136484812,0.2370013603802872,0.04001081558239371,0.04697917590083398,0.31658958044434987,0.33062046105944753,0.36963285906368754
collective,0.12585668626220523,1.0,-0.06817768122428357,0.28083227739604955,0.20418896699785666,0.2916695233116449,-0.0701717054498959,0.27101827501811987,0.19170187363541386,0.01630121176282638,0.1968321686504613,0.1170231601617442
event,0.14556143004199643,-0.06817768122428357,1.0,-0.2327116956624565,0.233681405346716,0.11001695719343044,0.1638682866437349,-0.006112160006861589,-0.0046273145786442415,0.33262228217360007,0.09722495198760696,0.3855415251964779
kind,0.211660690969853,0.28083227739604955,-0.2327116956624565,1.0,0.11708179106797179,0.2643427480765411,0.1431387025850075,0.35216820906560686,0.38962844857466644,-0.17065078441627712,0.5652824421474002,-0.15727277237986417
mode,0.36531504283981675,0.20418896699785666,0.233681405346716,0.11708179106797179,1.0,0.12619266103472954,0.19466385488535748,0.16740938840296848,0.27508737057464877,0.2775513275018219,0.2772787322879283,0.30934393409183314
phase,0.004597493136484812,0.2916695233116449,0.11001695719343044,0.2643427480765411,0.12619266103472954,1.0,0.07984967015998805,0.27543532372066715,0.4136145769431063,0.09072537451424469,0.30768273271651686,0.017938426385762027
quality,0.2370013603802872,-0.0701717054498959,0.1638682866437349,0.1431387025850075,0.19466385488535748,0.07984967015998805,1.0,0.1150171647407514,0.03746470509120601,0.04070968056900017,0.32379958554147875,0.1297531059660385
relator,0.04001081558239371,0.27101827501811987,-0.006112160006861589,0.35216820906560686,0.16740938840296848,0.27543532372066715,0.1150171647407514,1.0,0.436303231558374,0.18751968509007705,0.261619425288823,0.08414359913499396
role,0.04697917590083398,0.19170187363541386,-0.0046273145786442415,0.38962844857466644,0.27508737057464877,0.4136145769431063,0.03746470509120601,0.436303231558374,1.0,0.1069954552494198,0.23881141864778477,0.0074968088788427015
roleMixin,0.31658958044434987,0.01630121176282638,0.33262228217360007,-0.17065078441627712,0.2775513275018219,0.09072537451424469,0.04070968056900017,0.18751968509007705,0.1069954552494198,1.0,0.023822837811870997,0.43446695048989303
subkind,0.33062046105944753,0.1968321686504613,0.09722495198760696,0.5652824421474002,0.2772787322879283,0.30768273271651686,0.32379958554147875,0.261619425288823,0.23881141864778477,0.023822837811870997,1.0,0.09968291990053711
type,0.36963285906368754,0.1170231601617442,0.3855415251964779,-0.15727277237986417,0.30934393409183314,0.017938426385762027,0.1297531059660385,0.08414359913499396,0.0074968088788427015,0.43446695048989303,0.09968291990053711,1.0
