Stereotype,average_quantity,rank,proportion
abstract,0,12,0.0
category,2,4,0.05714285714285714
collective,0,12,0.0
datatype,0,12,0.0
enumeration,0,12,0.0
event,2,4,0.05714285714285714
historicalRole,0,12,0.0
historicalRoleMixin,0,12,0.0
kind,16,1,0.45714285714285713
mixin,0,12,0.0
mode,1,7,0.02857142857142857
phase,1,7,0.02857142857142857
phaseMixin,0,12,0.0
quality,1,7,0.02857142857142857
quantity,0,12,0.0
relator,2,4,0.05714285714285714
role,3,3,0.08571428571428572
roleMixin,1,7,0.02857142857142857
situation,0,12,0.0
subkind,5,2,0.14285714285714285
type,0,12,0.0
none,1,7,0.02857142857142857
other,0,12,0.0
