stereotype,geometric_mean_correlation,rank
category,2.239539445660537,8
collective,1.774061138845471,13
datatype,1.4456715299281804,16
event,2.446182519056641,3
kind,2.889322006780951,1
mode,2.013374210858616,11
phase,1.8944619704299859,12
quality,2.322379875188334,5
relator,2.28801456566236,6
role,2.0902704708105557,10
roleMixin,2.196916963692897,9
situation,2.7028224225847515,2
subkind,2.2808917540202476,7
type,2.4254974287788444,4
none,1.4738227549694982,15
other,1.6192139449050482,14
