stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
category,2.016108318217825,11
collective,1.8206531059093427,13
datatype,1.3073454194131284,17
event,2.4261052312449354,3
kind,2.5863106562568015,2
mixin,1.7071468618502217,15
mode,2.2728179969873183,6
phase,1.9798808930665874,12
quality,2.341678934476203,4
relator,2.1050760873501453,9
role,2.0454211485776543,10
roleMixin,2.110992874476572,8
situation,2.6005518766863682,1
subkind,2.153702403607347,7
type,2.3260022585982387,5
none,1.3669322426639985,16
other,1.7080382523168165,14
