Stereotype,x_value,y_value,distance_from_origin,rank,quadrant
abstract,0.0,0.0,0.0,36,Q3
category,0.062302839116719244,0.6363636363636364,0.6394062256875156,5,Q1
collective,0.012618296529968454,0.21212121212121213,0.21249618829308559,13,Q1
datatype,0.005520504731861199,0.12121212121212122,0.12133776947528115,21,Q2
enumeration,0.007886435331230283,0.09090909090909091,0.09125052696916897,22,Q4
event,0.10883280757097792,0.42424242424242425,0.4379796964824632,7,Q1
historicalRole,0.0,0.0,0.0,36,Q3
historicalRoleMixin,0.0,0.0,0.0,36,Q3
kind,0.13249211356466878,0.696969696969697,0.7094511390158341,1,Q1
mixin,0.00473186119873817,0.15151515151515152,0.15158902219179146,18,Q2
mode,0.051261829652996846,0.36363636363636365,0.3672317798585119,10,Q1
phase,0.01892744479495268,0.18181818181818182,0.18280070953400426,14,Q1
phaseMixin,0.0,0.0,0.0,36,Q3
quality,0.01025236593059937,0.12121212121212122,0.12164493140249158,20,Q1
quantity,0.007886435331230283,0.09090909090909091,0.09125052696916897,22,Q4
relator,0.06782334384858044,0.6666666666666666,0.6701077901466653,3,Q1
role,0.07886435331230283,0.6363636363636364,0.6412318332002226,4,Q1
roleMixin,0.044952681388012616,0.42424242424242425,0.4266173673106397,8,Q1
situation,0.011829652996845425,0.15151515151515152,0.1519762541605928,17,Q1
subkind,0.11829652996845426,0.6666666666666666,0.6770808765923181,2,Q1
type,0.01892744479495268,0.12121212121212122,0.12268099484112423,19,Q1
bringsAbout,0.002365930599369085,0.030303030303030304,0.030395250832118557,28,Q3
characterization,0.03627760252365931,0.30303030303030304,0.3051940841489263,11,Q1
comparative,0.0,0.0,0.0,36,Q3
componentOf,0.032334384858044164,0.30303030303030304,0.30475051599428904,12,Q1
creation,0.0,0.0,0.0,36,Q3
derivation,0.016561514195583597,0.18181818181818182,0.18257090401298873,15,Q1
externalDependence,0.006309148264984227,0.06060606060606061,0.06093356984466809,25,Q3
historicalDependence,0.003943217665615142,0.030303030303030304,0.030558511271081126,27,Q3
instantiation,0.0015772870662460567,0.030303030303030304,0.030344051806502705,30,Q3
manifestation,0.002365930599369085,0.030303030303030304,0.030395250832118557,28,Q3
material,0.04022082018927445,0.3939393939393939,0.3959873236279603,9,Q1
mediation,0.06782334384858044,0.45454545454545453,0.45957760630685285,6,Q1
memberOf,0.007886435331230283,0.18181818181818182,0.18198914006583772,16,Q1
participation,0.011829652996845425,0.06060606060606061,0.061749779531681454,24,Q4
participational,0.0,0.0,0.0,36,Q3
subCollectionOf,0.005520504731861199,0.06060606060606061,0.060856968004329576,26,Q3
subQuantityOf,0.0,0.0,0.0,36,Q3
termination,0.0,0.0,0.0,36,Q3
triggers,0.0015772870662460567,0.030303030303030304,0.030344051806502705,30,Q3
