stereotype,total_correlation,rank
category,3.7348572737012606,9
collective,3.29330941001132,14
datatype,3.1695088068310646,16
event,3.9825093922073833,5
kind,4.093984162147701,3
mixin,3.302103731229489,13
mode,3.94412276446631,6
phase,2.863526322167237,21
quality,4.071198053384849,4
relator,2.9988817951012963,19
role,2.912407279589862,20
roleMixin,4.5363934471490985,1
situation,3.1350939040545436,17
subkind,3.811903157975568,8
type,3.1949120353708764,15
characterization,4.124975760595092,2
componentOf,3.4378894522187506,12
derivation,3.70113065245228,10
material,3.597105741858056,11
mediation,3.8501913253519975,7
memberOf,3.1068813543407874,18
