Stereotype,category,collective,event,kind,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,characterization,componentOf,derivation,material,mediation
category,1.0,0.09531274293926231,0.1420366008075409,0.12741374303451516,0.3940677177253759,0.3623891384889421,0.10776846743739824,0.0,0.059281489192435435,0.3446619257562728,0.03691679819321632,0.5482227474660045,0.2863218829961349,0.3344839275696111,0.023871660441438843,0.010680938788908134,0.2538846751845087,0.30839107680264544
collective,0.09531274293926231,1.0,0.29949931811468616,0.045954606340182086,0.3443208715969745,0.12274687490961343,0.026103861194052745,0.06731590269285902,0.10128139452381817,0.09971598968309321,0.21796686346665214,0.06956320391367582,0.02610725417016833,0.11196584121373833,0.18418407839847245,0.12018999438473646,0.0409879018127741,0.08966024972394802
event,0.1420366008075409,0.29949931811468616,1.0,0.32469052697135753,0.22143311696160667,0.046426122052889304,0.053596991963747176,0.37048716428361433,0.09305767161334831,0.3837668074333101,0.4402248915261088,0.08223472353516546,0.30794947489173047,0.08918863785730427,0.30490016729793146,0.22925613325851346,0.09013163307618917,0.16824098254444222
kind,0.12741374303451516,0.045954606340182086,0.32469052697135753,1.0,0.05902269001765368,0.016805567123959794,0.35512130887377136,0.0773632905080475,0.4496257696027719,0.29363057911188967,0.3112215672369506,0.328503719785786,0.05212931274297332,0.15573439366671032,0.3214606622821229,0.2602961913104138,0.5219351348229039,0.03437190682135259
mode,0.3940677177253759,0.3443208715969745,0.22143311696160667,0.05902269001765368,1.0,0.2432914073116362,0.10779246118860955,0.053260370699665806,0.0637326852168976,0.4851576708917892,0.13870263564881607,0.24715788339485087,0.11531695273872655,0.32991401310657625,0.056983814201943345,0.0298582884800038,0.0044071520683108,0.2213438564577569
phase,0.3623891384889421,0.12274687490961343,0.046426122052889304,0.016805567123959794,0.2432914073116362,1.0,0.039410455260105205,0.0,0.2346437309721752,0.24190815725497627,0.006299705890720441,0.25928284927808776,0.03941557782539959,0.03526707552795557,0.02857659373359314,0.1637880893679067,0.10986275686412375,0.0695536478943152
quality,0.10776846743739824,0.026103861194052745,0.053596991963747176,0.35512130887377136,0.10779246118860955,0.039410455260105205,1.0,0.056259109732417614,0.10202804562883987,0.2714022211094606,0.37519383129632694,0.10168853195338909,0.40913837929542607,0.40771923022808715,0.2420263925633481,0.1743440073412819,0.2936251746971289,0.06278062889916415
relator,0.0,0.06731590269285902,0.37048716428361433,0.0773632905080475,0.053260370699665806,0.0,0.056259109732417614,1.0,0.20320556743213947,0.19259476600709177,0.06256236278212442,0.1279167631376161,0.06998047912863861,0.2644519828852521,0.022999692871835203,0.39471596510313106,0.0946019544929647,0.5852059476522397
role,0.059281489192435435,0.10128139452381817,0.09305767161334831,0.4496257696027719,0.0637326852168976,0.2346437309721752,0.10202804562883987,0.20320556743213947,1.0,0.00835166064652327,0.14834567897198067,0.0,0.09510241342073512,0.05949478778352734,0.06183950833048754,0.20978492477828775,0.3619037710129527,0.06494401772468987
roleMixin,0.3446619257562728,0.09971598968309321,0.3837668074333101,0.29363057911188967,0.4851576708917892,0.24190815725497627,0.2714022211094606,0.19259476600709177,0.00835166064652327,1.0,0.04535254366196892,0.13146056358165498,0.298639097837232,0.28878106894416516,0.31205330884493204,0.22173491176180066,0.17311929416626465,0.23365990031013437
situation,0.03691679819321632,0.21796686346665214,0.4402248915261088,0.3112215672369506,0.13870263564881607,0.006299705890720441,0.37519383129632694,0.06256236278212442,0.14834567897198067,0.04535254366196892,1.0,0.2161924303987428,0.10926108852499197,0.2992431635578051,0.27526694842441335,0.028183554506093368,0.15345576378963885,0.04440024533882567
subkind,0.5482227474660045,0.06956320391367582,0.08223472353516546,0.328503719785786,0.24715788339485087,0.25928284927808776,0.10168853195338909,0.1279167631376161,0.0,0.13146056358165498,0.2161924303987428,1.0,0.1808152865931122,0.06020170693253156,0.3069411348199151,0.0,0.30744150475703985,0.17880476040604656
type,0.2863218829961349,0.02610725417016833,0.30794947489173047,0.05212931274297332,0.11531695273872655,0.03941557782539959,0.40913837929542607,0.06998047912863861,0.09510241342073512,0.298639097837232,0.10926108852499197,0.1808152865931122,1.0,0.0226410083619337,0.24205785111896963,0.17436666855022748,0.054060531836336655,0.13969623685517224
