Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,466,1,466,18.048024786986833
role,350,2,816,31.603408210689388
kind,342,3,1158,44.84895429899303
subkind,270,4,1428,55.30596436870643
relator,229,5,1657,64.17505809450039
componentOf,137,6,1794,69.48102246320683
material,123,7,1917,74.24477149496515
phase,93,8,2010,77.84663051897753
none_r,82,9,2092,81.02246320681643
other_r,79,10,2171,84.08210689388072
derivation,72,11,2243,86.87064291247096
collective,66,12,2309,89.42680092951201
memberOf,52,13,2361,91.44074360960495
category,50,14,2411,93.37722695584819
datatype,37,15,2448,94.81022463206816
characterization,33,16,2481,96.08830364058869
roleMixin,31,17,2512,97.2889233152595
mode,21,18,2533,98.10224632068164
quality,18,19,2551,98.7993803253292
subCollectionOf,14,20,2565,99.3415956622773
type,6,21,2571,99.5739736638265
mixin,4,22,2575,99.72889233152596
enumeration,4,23,2579,99.8838109992254
abstract,1,24,2580,99.92254066615027
comparative,1,25,2581,99.96127033307513
quantity,1,26,2582,100.0
historicalRoleMixin,0,27,2582,100.0
event,0,28,2582,100.0
historicalRole,0,29,2582,100.0
none_c,0,30,2582,100.0
creation,0,31,2582,100.0
bringsAbout,0,32,2582,100.0
phaseMixin,0,33,2582,100.0
situation,0,34,2582,100.0
other_c,0,35,2582,100.0
instantiation,0,36,2582,100.0
manifestation,0,37,2582,100.0
externalDependence,0,38,2582,100.0
historicalDependence,0,39,2582,100.0
participation,0,40,2582,100.0
subQuantityOf,0,41,2582,100.0
participational,0,42,2582,100.0
triggers,0,43,2582,100.0
termination,0,44,2582,100.0
