stereotype,total_correlation,rank
category,2.191334078829383,17
collective,2.78513058796369,9
datatype,2.6252988820155396,13
kind,2.6437628309897785,12
phase,3.0120897474614714,7
relator,3.8692656652614965,2
role,3.442318434853367,4
roleMixin,2.4223268608734894,16
subkind,2.7050996206545896,10
characterization,2.8829703464829795,8
componentOf,3.0208156480093304,6
derivation,3.4385548344834893,5
material,3.9307640218656807,1
mediation,3.5634006791835366,3
memberOf,2.4645138889270313,14
none_r,2.4446527705126564,15
other_r,2.694789405290441,11
