Stereotype,average_quantity,rank,proportion
bringsAbout,0,8,0.0
characterization,0,8,0.0
comparative,0,8,0.0
componentOf,3,2,0.125
creation,0,8,0.0
derivation,1,4,0.041666666666666664
externalDependence,0,8,0.0
historicalDependence,0,8,0.0
instantiation,0,8,0.0
manifestation,0,8,0.0
material,2,3,0.08333333333333333
mediation,15,1,0.625
memberOf,1,4,0.041666666666666664
participation,0,8,0.0
participational,0,8,0.0
subCollectionOf,0,8,0.0
subQuantityOf,0,8,0.0
termination,0,8,0.0
triggers,0,8,0.0
none,1,4,0.041666666666666664
other,1,4,0.041666666666666664
