Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.5530596436870643,4,0.3690205011389522
20.0,8,0.7784663051897753,8,0.6241457858769932
30.0,13,0.9144074360960496,13,0.8382687927107062
40.0,17,0.9728892331525949,17,0.9430523917995444
50.0,22,0.9972889233152595,22,0.9908883826879271
60.0,26,1.0,26,1.0
70.0,30,1.0,30,1.0
80.0,35,1.0,35,1.0
90.0,39,1.0,39,1.0
100.0,44,1.0,44,1.0
