stereotype,total_correlation,rank
category,2.378535458035555,18
collective,2.7091680999714804,13
datatype,2.572993270164396,15
kind,2.8020983692753823,11
mode,4.290172432539917,2
phase,2.8680313515450586,10
relator,4.264403191814454,3
role,3.764482395186217,4
roleMixin,2.51511275957938,16
subkind,2.780323262264256,12
characterization,3.7602445183889923,5
componentOf,2.686436672144411,14
derivation,3.691205716533391,6
material,4.381982264753728,1
mediation,3.55223680127653,7
memberOf,3.254607534608839,8
subCollectionOf,2.129535623083215,19
none_r,2.4691463748874476,17
other_r,3.0697631432387453,9
