stereotype,total_correlation,rank
category,2.0188662854767667,16
collective,2.863222991623379,8
datatype,2.678667799030691,9
kind,2.4943742101140285,11
phase,3.1633840550156114,6
relator,3.510741389817179,3
role,3.1477252283298753,7
roleMixin,2.3329639589958204,14
subkind,2.631911208665098,10
characterization,2.2103663679459626,15
componentOf,3.396814551364007,4
derivation,3.203197073733948,5
material,3.526008290784814,2
mediation,3.574599642637171,1
memberOf,1.8662246197510362,17
none_r,2.4204021394428783,12
other_r,2.365618974499762,13
