Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.4226289517470882,2,0.2890625
20.0,4,0.6447587354409318,4,0.4557291666666667
30.0,6,0.769134775374376,6,0.6041666666666666
40.0,8,0.8340266222961731,8,0.7083333333333334
50.0,10,0.8922628951747088,10,0.8020833333333334
60.0,12,0.9351081530782029,12,0.8723958333333334
70.0,14,0.961730449251248,14,0.9322916666666666
80.0,16,0.9792013311148087,16,0.96875
90.0,18,0.9920965058236273,18,0.9895833333333334
100.0,20,1.0,20,1.0
