Stereotype,x_value,y_value,quadrant
bringsAbout,30,0.0991735537190082,Q3
characterization,558,0.5619834710743802,Q1
comparative,37,0.0495867768595041,Q3
componentOf,551,0.371900826446281,Q1
creation,60,0.1487603305785124,Q1
derivation,219,0.3223140495867768,Q1
externalDependence,77,0.1818181818181818,Q1
historicalDependence,44,0.1322314049586777,Q3
instantiation,69,0.140495867768595,Q1
manifestation,34,0.0991735537190082,Q3
material,623,0.4462809917355372,Q1
mediation,1967,0.6363636363636364,Q1
memberOf,203,0.256198347107438,Q1
participation,211,0.2396694214876033,Q1
participational,17,0.0330578512396694,Q3
subCollectionOf,27,0.0495867768595041,Q3
subQuantityOf,14,0.0330578512396694,Q3
termination,5,0.024793388429752,Q3
triggers,16,0.0826446280991735,Q3
