construct,x_value,y_value,quadrant
bringsAbout,30,0.0253699788583509,Q3
characterization,558,0.1437632135306553,Q1
comparative,37,0.0126849894291754,Q3
componentOf,551,0.095137420718816,Q1
creation,60,0.0380549682875264,Q1
derivation,219,0.0824524312896406,Q1
externalDependence,77,0.0465116279069767,Q1
historicalDependence,44,0.0338266384778012,Q3
instantiation,69,0.0359408033826638,Q1
manifestation,34,0.0253699788583509,Q3
material,623,0.1141649048625792,Q1
mediation,1967,0.1627906976744186,Q1
memberOf,203,0.0655391120507399,Q1
participation,211,0.0613107822410148,Q1
participational,17,0.0084566596194503,Q3
subCollectionOf,27,0.0126849894291754,Q3
subQuantityOf,14,0.0084566596194503,Q3
termination,5,0.0063424947145877,Q3
triggers,16,0.0211416490486257,Q3
