construct,x_value,y_value,quadrant
bringsAbout,0.0062998740025199,0.0253699788583509,Q3
characterization,0.117177656446871,0.1437632135306553,Q1
comparative,0.0077698446031079,0.0126849894291754,Q3
componentOf,0.115707685846283,0.095137420718816,Q1
creation,0.0125997480050399,0.0380549682875264,Q1
derivation,0.0459890802183956,0.0824524312896406,Q1
externalDependence,0.0161696766064678,0.0465116279069767,Q1
historicalDependence,0.0092398152036959,0.0338266384778012,Q3
instantiation,0.0144897102057958,0.0359408033826638,Q1
manifestation,0.0071398572028559,0.0253699788583509,Q3
material,0.1308273834523309,0.1141649048625792,Q1
mediation,0.4130617387652247,0.1627906976744186,Q1
memberOf,0.0426291474170516,0.0655391120507399,Q1
participation,0.0443091138177236,0.0613107822410148,Q1
participational,0.0035699286014279,0.0084566596194503,Q3
subCollectionOf,0.0056698866022679,0.0126849894291754,Q3
subQuantityOf,0.0029399412011759,0.0084566596194503,Q3
termination,0.0010499790004199,0.0063424947145877,Q3
triggers,0.0033599328013439,0.0211416490486257,Q3
