construct,x_value,y_value,quadrant
bringsAbout,0.2479338842975206,0.0253699788583509,Q3
characterization,4.6115702479338845,0.1437632135306553,Q1
comparative,0.3057851239669421,0.0126849894291754,Q3
componentOf,4.553719008264463,0.095137420718816,Q1
creation,0.4958677685950413,0.0380549682875264,Q1
derivation,1.8099173553719008,0.0824524312896406,Q1
externalDependence,0.6363636363636364,0.0465116279069767,Q1
historicalDependence,0.3636363636363636,0.0338266384778012,Q3
instantiation,0.5702479338842975,0.0359408033826638,Q1
manifestation,0.2809917355371901,0.0253699788583509,Q3
material,5.148760330578512,0.1141649048625792,Q1
mediation,16.25619834710744,0.1627906976744186,Q1
memberOf,1.677685950413223,0.0655391120507399,Q1
participation,1.743801652892562,0.0613107822410148,Q1
participational,0.140495867768595,0.0084566596194503,Q3
subCollectionOf,0.2231404958677686,0.0126849894291754,Q3
subQuantityOf,0.1157024793388429,0.0084566596194503,Q3
termination,0.0413223140495867,0.0063424947145877,Q3
triggers,0.1322314049586777,0.0211416490486257,Q3
