Construct Pair,Dice Coefficient,Mutual Information
bringsAbout - characterization,0.275,0.265031557208862
bringsAbout - comparative,0.3333333333333333,0.0924203504669371
bringsAbout - componentOf,0.175438596491228,0.1250609041823668
bringsAbout - creation,0.2666666666666666,0.0639733766173236
bringsAbout - derivation,0.1568627450980392,0.0525609147384435
bringsAbout - externalDependence,0.2941176470588235,0.1085389827005118
bringsAbout - historicalDependence,0.4285714285714285,0.1352819322986899
bringsAbout - instantiation,0.3448275862068966,0.1119980501543828
bringsAbout - manifestation,0.4166666666666667,0.1091881029468917
bringsAbout - material,0.2121212121212121,0.1761968588412978
bringsAbout - mediation,0.1348314606741573,0.1812749609024777
bringsAbout - memberOf,0.0930232558139534,0.0436117744587086
bringsAbout - participation,0.5365853658536586,0.2765295877951302
bringsAbout - participational,0.125,0.0273664606324867
bringsAbout - subCollectionOf,0.0,0.005319238678576
bringsAbout - subQuantityOf,0.0,0.0035142417308388
bringsAbout - termination,0.2666666666666666,0.05488590409902
bringsAbout - triggers,0.7272727272727273,0.2048073121188344
characterization - comparative,0.1081081081081081,0.1422575106037757
characterization - componentOf,0.6017699115044248,0.6631737647565835
characterization - creation,0.3023255813953488,0.271522868432899
characterization - derivation,0.4672897196261682,0.4042745757185795
characterization - externalDependence,0.4444444444444444,0.4242284212717249
characterization - historicalDependence,0.3095238095238095,0.3110430315379826
characterization - instantiation,0.3529411764705882,0.3543366789757137
characterization - manifestation,0.275,0.262315035703186
characterization - material,0.5901639344262295,0.7725974714929127
characterization - mediation,0.7586206896551724,0.9898524800389236
characterization - memberOf,0.4646464646464646,0.3960820671677698
characterization - participation,0.4948453608247423,0.5370610785084242
characterization - participational,0.0833333333333333,0.0840279870079667
characterization - subCollectionOf,0.1081081081081081,0.130784484221396
characterization - subQuantityOf,0.1111111111111111,0.1333030878961278
characterization - termination,0.028169014084507,0.0500926596678971
characterization - triggers,0.2564102564102564,0.2466419213096005
comparative - componentOf,0.196078431372549,0.1753978703304667
comparative - creation,0.25,0.0825353810658433
comparative - derivation,0.1333333333333333,0.074806785843
comparative - externalDependence,0.0,0.0102342888872758
comparative - historicalDependence,0.1818181818181818,0.0474859049344321
comparative - instantiation,0.0,0.007715873177233
comparative - manifestation,0.1111111111111111,0.0333376448320885
comparative - material,0.2,0.2197548178302983
comparative - mediation,0.144578313253012,0.1751294911445205
comparative - memberOf,0.2162162162162162,0.095034928516981
comparative - participation,0.2285714285714285,0.1050643201916686
comparative - participational,0.0,0.0017104399154017
comparative - subCollectionOf,0.0,0.0025883112118578
comparative - subQuantityOf,0.0,0.0017104399154017
comparative - termination,0.4444444444444444,0.0844876390440997
comparative - triggers,0.125,0.0304805022144712
componentOf - creation,0.2539682539682539,0.204447787249319
componentOf - derivation,0.4047619047619047,0.3776749319505335
componentOf - externalDependence,0.2388059701492537,0.1782298084031764
componentOf - historicalDependence,0.2622950819672131,0.1682772748347115
componentOf - instantiation,0.3225806451612903,0.2080093618828832
componentOf - manifestation,0.2456140350877192,0.1449189520210586
componentOf - material,0.5858585858585859,0.6948855371567046
componentOf - mediation,0.5573770491803278,0.7535320118786574
componentOf - memberOf,0.5789473684210527,0.3861680335133495
componentOf - participation,0.2972972972972973,0.2773125539716933
componentOf - participational,0.0408163265306122,0.0370309399565436
componentOf - subCollectionOf,0.196078431372549,0.1739734810844356
componentOf - subQuantityOf,0.1632653061224489,0.1271984222475652
componentOf - termination,0.0833333333333333,0.0721480009728519
componentOf - triggers,0.0727272727272727,0.0650320149784024
creation - derivation,0.2456140350877192,0.1223388675123524
creation - externalDependence,0.35,0.1432853546283875
creation - historicalDependence,0.4705882352941176,0.1697880195795024
creation - instantiation,0.4571428571428571,0.204990260658229
creation - manifestation,0.4,0.1444887968789506
creation - material,0.2222222222222222,0.2055142103596116
creation - mediation,0.2947368421052631,0.3442112829848657
creation - memberOf,0.3265306122448979,0.1458934846832527
creation - participation,0.723404255319149,0.4615224424061518
creation - participational,0.2727272727272727,0.1123813250776901
creation - subCollectionOf,0.1666666666666666,0.0732843286371866
creation - subQuantityOf,0.0909090909090909,0.0402474718669835
creation - termination,0.2857142857142857,0.0791178295259145
creation - triggers,0.1428571428571428,0.034168292652549
derivation - externalDependence,0.1639344262295081,0.0787399940375475
derivation - historicalDependence,0.109090909090909,0.0623470378439293
derivation - instantiation,0.1071428571428571,0.0558799861990702
derivation - manifestation,0.0392156862745098,0.0340630122053149
derivation - material,0.6881720430107527,0.7071936475544182
derivation - mediation,0.6379310344827587,0.6856578626142557
derivation - memberOf,0.4857142857142857,0.245040279351123
derivation - participation,0.2647058823529412,0.13332218828316
derivation - participational,0.0,0.0131290566279973
derivation - subCollectionOf,0.1777777777777777,0.1381792717181855
derivation - subQuantityOf,0.1395348837209302,0.0919341749310614
derivation - termination,0.0952380952380952,0.0395981150733588
