construct,x_value,y_value,quadrant
bringsAbout,30,12,Q3
characterization,558,68,Q1
comparative,37,6,Q3
componentOf,551,45,Q1
creation,60,18,Q1
derivation,219,39,Q1
externalDependence,77,22,Q1
historicalDependence,44,16,Q3
instantiation,69,17,Q1
manifestation,34,12,Q3
material,623,54,Q1
mediation,1967,77,Q1
memberOf,203,31,Q1
participation,211,29,Q1
participational,17,4,Q3
subCollectionOf,27,6,Q3
subQuantityOf,14,4,Q3
termination,5,3,Q3
triggers,16,10,Q3
