construct,x_value,y_value,quadrant
bringsAbout,12,0.0253699788583509,Q3
characterization,68,0.1437632135306553,Q1
comparative,6,0.0126849894291754,Q3
componentOf,45,0.095137420718816,Q1
creation,18,0.0380549682875264,Q1
derivation,39,0.0824524312896406,Q1
externalDependence,22,0.0465116279069767,Q1
historicalDependence,16,0.0338266384778012,Q3
instantiation,17,0.0359408033826638,Q1
manifestation,12,0.0253699788583509,Q3
material,54,0.1141649048625792,Q1
mediation,77,0.1627906976744186,Q1
memberOf,31,0.0655391120507399,Q1
participation,29,0.0613107822410148,Q1
participational,4,0.0084566596194503,Q3
subCollectionOf,6,0.0126849894291754,Q3
subQuantityOf,4,0.0084566596194503,Q3
termination,3,0.0063424947145877,Q3
triggers,10,0.0211416490486257,Q3
