Stereotype,category,collective,datatype,event,kind,mixin,mode,phase,quality,relator,role,roleMixin,situation,subkind,type,bringsAbout,characterization,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation
category,1.0,0.05627141060922429,0.09524990645939141,0.07081076088867742,-0.028005601680560196,0.12673546976743888,0.31904623726246795,0.06491033821718736,0.20548848546340404,-0.038661858593003,-0.019187163909852895,0.2521464892337814,0.1703616057770918,0.26284461234898165,0.22340833332444973,0.23968745650307927,0.32772549574493504,0.24255968491685806,-0.025408494051425357,-0.053945685905214764,0.13202640792264092,0.15476082740413627,0.16942513157294692,0.12338347011097749,0.05888466032381593,0.03889222341312987,-0.02400480144048017,0.08981774262781438
collective,0.05627141060922429,1.0,0.10941170714932137,-0.03711958507677131,0.10320949627119858,0.0719608639321375,0.14454803129895652,0.3075240262531132,-0.03092570835748303,0.17914134491710748,0.06730932219355058,-0.06107058849025578,-0.26596457587758254,0.21900557181795857,0.025196644030507823,-0.19346897331835558,0.12526648984589583,0.2100164081728578,0.04183840436209301,0.03916100378091094,0.010979733645872188,0.10776558699326988,0.02524990066367272,0.008126680004967406,0.052686725558244184,0.213470420089446,0.6961151131482968,0.06573184240142088
datatype,0.09524990645939141,0.10941170714932137,1.0,0.09250647241352876,0.12388893697482023,-0.015320086617971924,-0.004183709807647029,0.027944612777976042,0.187835348648845,-0.13920984044856843,-0.0472785853366316,-0.08184463379485145,0.19609248087729,0.06595995111805886,0.07211911910684525,0.1385432011048408,0.04290963993084491,0.13173888881045848,0.012146147169967194,-0.003050184217626058,-0.002337527112732457,0.2226793647827319,0.06621128969791389,-0.10669117182157792,-0.013667437647280522,-0.045446721279351156,0.11921388274935531,0.12244715823395665
event,0.07081076088867742,-0.03711958507677131,0.09250647241352876,1.0,-0.2632618252402397,-0.10344188012903353,0.17740112994350282,0.006469138997106467,0.09884679021693837,-0.1468451433986406,-0.15836293509826913,0.2519940214604077,0.5413611506423753,-0.02488601137656833,0.290239118230212,0.3937990074942606,0.16336905221655315,-0.11967907144646964,0.4516089207311461,0.000823798972105062,0.3125050443499249,0.3378865774961844,0.30435590094771225,0.352793146054377,-0.02940331248188795,-0.10740037208813773,0.06628894880149921,0.5811001104416557
kind,-0.028005601680560196,0.10320949627119858,0.12388893697482023,-0.2632618252402397,1.0,0.005201564866102994,0.032197489417871046,0.27243877036479885,0.04733810683311508,0.15624314272957676,0.4785902265500478,-0.18483233049526543,-0.21127024685169618,0.3754171973836686,-0.2744084815430077,-0.22883834436313077,-0.02067848184159274,0.1667162624620411,-0.0219942959691286,0.3106848830006,-0.2571428571428571,-0.3079201435678004,-0.21634643165805106,-0.20559798491465375,0.34371317404677765,0.2160246899469287,0.11428571428571428,-0.2538981798168031
mixin,0.12673546976743888,0.0719608639321375,-0.015320086617971924,-0.10344188012903353,0.005201564866102994,1.0,0.11171723053935623,0.23540912430931987,0.19390788374813217,0.009351718179520721,0.24728908505365577,0.12904797918187533,-0.06366249312775304,-0.07170779450907386,0.07427290864904522,-0.059992001599644525,0.1355261854357877,0.0044416815907418845,-0.0900937462695559,-0.03619946560933338,-0.07282190812544191,0.06606874726434099,0.0525158665648993,0.1796644508187709,0.09228882938591838,0.11798497593106737,-0.005201564866102994,-0.04379056560908567
mode,0.31904623726246795,0.14454803129895652,-0.004183709807647029,0.17740112994350282,0.032197489417871046,0.11171723053935623,1.0,0.13261734944068257,0.22122853048552876,0.16301939107733146,0.0880671683962943,0.2519940214604077,-0.06133172714681683,0.1872570364236863,0.18979030526534657,0.07827437899346629,0.5132853745842734,0.13261734944068257,0.11044189102626091,0.043661345521568286,0.3125050443499249,0.05358071940878004,0.13863331613848673,0.1705556269004604,0.08973738224991777,0.2516237288922084,0.16477538702086947,0.07440916048338274
phase,0.06491033821718736,0.3075240262531132,0.027944612777976042,0.006469138997106467,0.27243877036479885,0.23540912430931987,0.13261734944068257,1.0,0.08421375869317117,0.06213988230175596,0.21027220628542392,0.03254240189935666,-0.04561998849773195,0.3433464396647804,-0.04561998849773195,-0.0260543916450301,0.0032104755355392483,0.1423611111111111,-0.07982012405769323,0.08135796899578504,-0.11385500851066221,-0.018781205660633703,-0.03649203676693156,-0.04514469490716345,0.10165956343960895,0.14164368686170864,0.1504512612462322,-0.06846531968814576
quality,0.20548848546340404,-0.03092570835748303,0.187835348648845,0.09884679021693837,0.04733810683311508,0.19390788374813217,0.22122853048552876,0.08421375869317117,1.0,0.20035744434031552,0.1332541477198557,0.0868196096332842,0.2313480597839073,0.12066195464724275,0.2836528385176602,0.27551355188799914,0.5248132615155346,-0.0033685503477268466,0.00911022290767542,-0.061770383568248315,0.20907663851292496,0.1867595696073461,0.2765818420661434,0.24331548436407655,-0.007953569599918163,0.11824043578063628,-0.1499040049715311,0.22509378340810754
relator,-0.038661858593003,0.17914134491710748,-0.13920984044856843,-0.1468451433986406,0.15624314272957676,0.009351718179520721,0.16301939107733146,0.06213988230175596,0.20035744434031552,1.0,0.135224945877783,0.1408865414493537,-0.11733429059213635,0.14153663098837593,-0.11733429059213635,-0.08159844824540763,0.27587131932268055,0.06213988230175596,-0.02347853958582371,0.32862528000937685,0.0663498277344778,0.04077851612274644,-0.06902874264959337,-0.06072619166666902,0.20842877833369744,0.7039451118792719,0.17764631296650507,0.012012499502607452
