Percentage,Top k Stereotypes,Coverage
10.0,2,0.23711340206185566
20.0,4,0.44329896907216493
30.0,6,0.6134020618556701
40.0,8,0.7371134020618557
50.0,10,0.8247422680412371
60.0,12,0.8969072164948454
70.0,14,0.9536082474226805
80.0,16,0.9896907216494846
90.0,18,1.0
100.0,21,1.0
