Element,Max Occurrences,Min Occurrences,Min Non-zero Occurrences,Range,Range Non-zero,Median Occurrences,Mode Occurrences,Standard Deviation,Variance,Q1,Q2,Q3,IQR,Skewness,Kurtosis
sortal,3391,0,2,3391,3389,20.0,10,626.3846612444821,392357.74384236464,13.0,20.0,44.0,31.0,5.248949330109648,27.92448050260391
non_sortal,354,0,1,354,353,4.0,0,66.11825128290492,4371.623152709359,0.0,4.0,10.0,10.0,4.811614488273187,24.515355812395605
rigid,2306,0,2,2306,2304,15.0,12,424.4160288175288,180128.96551724145,12.0,15.0,39.0,27.0,5.284871565853841,28.2274123497426
non_rigid,1417,0,1,1417,1416,8.0,3,264.0720111893649,69734.02709359606,3.0,8.0,14.0,11.0,5.1264928502987495,26.879494555979704
abstracts,15,0,1,15,14,0.0,0,2.996714128258227,8.980295566502464,0.0,0.0,1.0,1.0,3.936810275098036,17.25480531385514
temporal,23,0,2,23,21,0.0,0,7.446856049678316,55.45566502463054,0.0,0.0,7.0,7.0,1.3970317000332475,0.6074462266662808
rigid_sortal,2208,0,2,2208,2206,14.0,8,406.6645384073088,165376.0467980295,8.0,14.0,38.0,30.0,5.312691515893269,28.441887914646138
rigid_non_sortal,98,0,1,98,97,3.0,0,20.161967317411623,406.50492610837443,0.0,3.0,7.0,7.0,3.3746589698069553,13.172073508991582
non_rigid_sortal,1161,0,2,1161,1159,5.0,0,217.2375376937679,47192.14778325123,2.0,5.0,11.0,9.0,5.084780888432958,26.501514356795262
non_rigid_non_sortal,256,0,1,256,255,1.0,0,47.34333771097854,2241.3916256157627,0.0,1.0,6.0,6.0,5.1728486373071965,27.356865816533976
