Construct,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type
abstract,,,,,,,,,,,,,,,,,,,,,
category,,1.0,0.3467241425029731,0.11978046100676562,0.010681979794169072,0.05252127942127012,,,0.5136300957162099,0.5541937434342932,0.6193972221704707,0.4965014651015802,,-0.14280688367814737,0.24159106275735417,0.5229778586880821,0.46774671698159687,0.6141359818181474,-0.1421606162616123,0.624988283602365,0.5621878571580537
collective,,0.3467241425029731,1.0,0.4219836142048568,0.10377406086387014,-0.32163446341778795,,,0.281849022578321,0.32284020231768706,0.36520503324054365,0.11845732581283666,,-0.17905969094033297,0.32267359839770027,0.3279263483510995,0.1515792148993207,0.235676480311842,-0.08650000957204644,0.25102900035965886,0.24479036079057012
datatype,,0.11978046100676562,0.4219836142048568,1.0,0.07640206497994774,-0.050069665685313666,,,0.15550201634014268,0.411850313488638,0.2079088407034435,-0.10212755492956947,,0.15057074800986933,0.38066497293321194,-0.10908773492758417,0.002634301249074505,-0.15996225577229747,0.28407057573715655,0.20714711759380056,0.15343016266796938
enumeration,,0.010681979794169072,0.10377406086387014,0.07640206497994774,1.0,-0.09825167193540128,,,0.19228403876989525,0.3302029506835216,0.3185200492619649,0.12419590607109272,,0.3381697223667365,0.526199125956018,0.1002057425014665,0.1874710021762019,0.18384255076930345,0.21408982465979037,0.10769477805792418,0.1341971676712272
event,,0.05252127942127012,-0.32163446341778795,-0.050069665685313666,-0.09825167193540128,1.0,,,-0.21514695705105918,0.08016904120601975,0.18612182179648096,-0.01889322957260444,,-0.0163057899056209,-0.03914760672863552,-0.35260408243237085,0.0906156608043232,0.26387750792541437,0.31330313450245334,0.010007809177647705,0.3206748132763984
historicalRole,,,,,,,,,,,,,,,,,,,,,
historicalRoleMixin,,,,,,,,,,,,,,,,,,,,,
kind,,0.5136300957162099,0.281849022578321,0.15550201634014268,0.19228403876989525,-0.21514695705105918,,,1.0,0.2106727693988087,0.2836654855405554,0.20172194662086798,,-0.29039714870046696,0.12013340237101022,0.5095520950846155,0.5630400502293834,0.1852491556434729,-0.2509760260702791,0.6492578279028082,0.42421277570623994
mixin,,0.5541937434342932,0.32284020231768706,0.411850313488638,0.3302029506835216,0.08016904120601975,,,0.2106727693988087,1.0,0.533608996875645,0.3769613380152703,,0.3303730637434014,0.5628121498051526,0.34940345185608396,0.5036591227800209,0.2773188442918618,0.17119492236668865,0.29509356552413657,0.5823327363448805
mode,,0.6193972221704707,0.36520503324054365,0.2079088407034435,0.3185200492619649,0.18612182179648096,,,0.2836654855405554,0.533608996875645,1.0,0.23497703961886204,,-0.21828038310696185,0.35426719447274885,0.42077928996913067,0.3987981944943929,0.6526625793947052,0.062072554331487735,0.2729310771892649,0.602136455309368
phase,,0.4965014651015802,0.11845732581283666,-0.10212755492956947,0.12419590607109272,-0.01889322957260444,,,0.20172194662086798,0.3769613380152703,0.23497703961886204,1.0,,-0.1650881382174598,0.33112027541152544,0.18827289144367426,0.4093735177196645,0.4143818086316683,-0.06415985617644883,0.4094303410146296,0.11878163786690087
phaseMixin,,,,,,,,,,,,,,,,,,,,,
quality,,-0.14280688367814737,-0.17905969094033297,0.15057074800986933,0.3381697223667365,-0.0163057899056209,,,-0.29039714870046696,0.3303730637434014,-0.21828038310696185,-0.1650881382174598,,1.0,0.2460973242070418,-0.11686272236847325,-0.17355593925370424,-0.08219468955843583,0.29733185660537553,-0.3159204248093147,-0.1377216858017159
quantity,,0.24159106275735417,0.32267359839770027,0.38066497293321194,0.526199125956018,-0.03914760672863552,,,0.12013340237101022,0.5628121498051526,0.35426719447274885,0.33112027541152544,,0.2460973242070418,1.0,0.24966122039755778,0.37496789766557764,0.03954176388164238,0.38982696528689365,0.17914185646884195,0.22404953661533045
relator,,0.5229778586880821,0.3279263483510995,-0.10908773492758417,0.1002057425014665,-0.35260408243237085,,,0.5095520950846155,0.34940345185608396,0.42077928996913067,0.18827289144367426,,-0.11686272236847325,0.24966122039755778,1.0,0.6273588446007222,0.42569570171937243,0.040325507047566586,0.2673971413527539,0.35692950432091214
role,,0.46774671698159687,0.1515792148993207,0.002634301249074505,0.1874710021762019,0.0906156608043232,,,0.5630400502293834,0.5036591227800209,0.3987981944943929,0.4093735177196645,,-0.17355593925370424,0.37496789766557764,0.6273588446007222,1.0,0.3318893564301485,0.06692740970830115,0.3971936084677342,0.5690115725373168
roleMixin,,0.6141359818181474,0.235676480311842,-0.15996225577229747,0.18384255076930345,0.26387750792541437,,,0.1852491556434729,0.2773188442918618,0.6526625793947052,0.4143818086316683,,-0.08219468955843583,0.03954176388164238,0.42569570171937243,0.3318893564301485,1.0,0.06955604646825651,0.24369098463668695,0.38478785536737425
situation,,-0.1421606162616123,-0.08650000957204644,0.28407057573715655,0.21408982465979037,0.31330313450245334,,,-0.2509760260702791,0.17119492236668865,0.062072554331487735,-0.06415985617644883,,0.29733185660537553,0.38982696528689365,0.040325507047566586,0.06692740970830115,0.06955604646825651,1.0,-0.28496149798483655,0.05802076721399761
subkind,,0.624988283602365,0.25102900035965886,0.20714711759380056,0.10769477805792418,0.010007809177647705,,,0.6492578279028082,0.29509356552413657,0.2729310771892649,0.4094303410146296,,-0.3159204248093147,0.17914185646884195,0.2673971413527539,0.3971936084677342,0.24369098463668695,-0.28496149798483655,1.0,0.3180773680717895
type,,0.5621878571580537,0.24479036079057012,0.15343016266796938,0.1341971676712272,0.3206748132763984,,,0.42421277570623994,0.5823327363448805,0.602136455309368,0.11878163786690087,,-0.1377216858017159,0.22404953661533045,0.35692950432091214,0.5690115725373168,0.38478785536737425,0.05802076721399761,0.3180773680717895,1.0
